sample_id,before,current,end,keyword,next,project,start,type
379,"While ÉSTAINE is about extraordinary fashion, it is so much more —",it is about educating the community and aiding those fighting the battle against cancer.,61,fighting,"The one-of-a-kind designs tell not only of science, but also the stories of survivors, inviting questions that lead to awareness.",93b169593a4c483e1d566f61a62f47b7,53,battle
92,"Not to long ago I was diagnosed with gum cancer, to begin with that was scary, but great friends and loving relationships have helped me recover and see past the not so nice times and music has been ever-present along the way.  ",I'm inviting you to come along on my journey in this exciting project,44,journey,", I would be thrilled if you accept the invite!",3af527d7f79803b0a6930147aab3400d,37,journey
272,With a reduced swelling and pain level you are able to eat and enjoy life.,These drinks have helped me with my Esophageal  Cancer fight.  ,60,fight,This will ######### a blog and drink recipes booklet that I propose to donate to ###########################.,4ca20835c777e94a864849526168be7e,55,battle
111,"In the shared spirit of giving, it is ####’s goal to use it’s 501c3 status as a fundraising arm for various recipients in the ########## region.   ","####’s inaugural debut performance ""##########"" is the realization of #######’s vision to demonstrate a celebration of life, as well as shine a light on life's struggles as we fight to overcome, rise up, and ultimately honor those that battle cancer.",181,fight,"""Resilience"" will be an incredibly moving landmark performance to benefit ############################### and the ########## region as a whole.    ",e49303507a8c3c9dde7ea0ab832c9e69,176,battle
1017,", We are financially devasted",and I need for ###### to be able to concentrate on his fight and his health and nothing else.,60,fight,So I am reaching out to you ##############,62a59509895249bf1374146416a0d900,55,battle
1385,My name is ####################.  ,"This has been a long, exhausting battle with cancer since being diagnosed, January 2017, with ####################### and lymphoma.  ",39,battle,"I lost my job March 3, after 13 years of service due to  frequent doctor appointments, memory loss, chemotherapy, multiple testings, MRI's, ######### and those familiar with cancer know the rest.  ",8b701bf66edae5d2fc72d5b2b488f066,33,battle
252,"Not just the profit, but EVERY penny the film sees will be donated.","############# DETAILED SYNOPSIS: ########### (Emma Lyle), a young child whom has been battling leukemia, gets visited by her loving father ###### (##############).",94,battling,"As she becomes aware of her final days to come, she becomes more afraid and struggles to comprehend her diagnosis.",4fdf97a6a6a7c82e5ae6337f79dfb9f7,86,battle
1231,If you would like to join in their fight here is the answer.....,"We can't be there to heal him or at this point even hug him, but we can wrap him in love by donating to their fight monetarily.",115,fight,##### and ##### don't have rich families or rich friends but more importantly they have people surrounding them that are rich in love.,bbf22e4c3be6de048f69b0cdc4db6864,110,battle
848,"####### is also trying to go abroad and receive treatment that is not available in ###### or #################, which is costing her 18, 955 ### for 3 weeks and that is assuming she would only need 3 weeks.",Our goal is to raise as much as we can to aid #######'s battle.,62,battle,Doctors have informed ####### that she is incurable and left her with little hope.,da2b17cad35591cdf2f6812be0435139,56,battle
1189,The family and ###### have a long road ahead of them fighting this cancer.,"###### is a very strong little girl, with alot of fight in her.",55,fight,###### has taken off work since the first day (which wouldn't we all if it was our child).,aa170004ba055a9e9b7daf0e7e2beb0f,50,battle
1166,His new treatments are very costly and will be an out of pocket expense.,"Combining expenses from past treatments, future costs and now no longer being well enough to work, we need everyone to rally together and help him fight the fight.",162,fight,Help us spread the love for ############# and donate to him in his time of need.,f02acd38a06a2890275b80048839ec6d,157,battle
521,It was tough for her at first,but now she is ready to fight and win!,37,win,"Our family members and friends have been a great help and of course we have we God on our side, who is in the business of miracles, and we will not stop praying for her miracle.",33b41f5192463e7976b4b2373525cd1f,34,battle
659,"She is strong and will no doubt, kick cancer.",Your help will make this fight just a bit easier for her.,30,fight,We will update everyone on her journey as her treatment gets underway.,a95294ea138b81bd7e8dd324e3c8a61a,25,battle
1151,"Due to the nature of his treatment and amount of time in the hospital, ###### requires constant care, which means both ###### and ####### have had to put their jobs on hold.","We are grateful for any help with the financial burden of mounting medical bills and expenses, so they can focus on their fight.   ",127,fight,Any amount of support would be a tremendous blessing to help get them through.,464621c0b47af878c59e2e45447ef13a,122,battle
1259,####### has had many ups and down through out her journey,but she continue to fight with a smile on her face.,25,fight,####### had reached her limit on chemotherapy and has been off chemotherapy since the end of summer 2014.,9028959a10b24bf0d4a7ce4a3df479e7,20,battle
1356,"Because of all of this, we are asking for your help.",We are ready to fight this.,21,fight,No matter what the outcome is-,e4f7e658cd473c50a64fc4f4b34659e5,16,battle
891,There will be significant out of pocket medical expenses in addition to regular monthly bills including her mortgage and 500+ per month for health insurance.,All of #####'s energy needs to be focused on fighting and winning this second battle with cancer.,84,battle,Any help you can provide will be greatly appreciated.,b8cf3865ac05ac9530c1913a4750d105,78,battle
431,- #### and #########,"As players explore the five physical spaces in the game, they will unlock our memories, hear our thoughts, and discover the joy of ####'s laughter as they play through our family’s experience fighting this terrible dragon called ######.   ",200,fighting,"The game is designed in the style of a 3d point-and-click adventure game, without the puzzles.  ",c94ce9afd3aa0a2156e1435714ef4f81,192,battle
976,You’ll also likely know that he’d be the first person to help you if the shoe was on the other foot.,"If you’ve never had the pleasure to meet ###, chances are you’ve probably loved his work over the years, given that he’s the multiple-award-winning Creative Director behind some of the most iconic magazine covers the world has ever seen, on magazines like ######, Q, Top Gear and very many more.",147,winning,"Today, ### lives in ########### with his loving wife ####.",825f324eb2022247cbb9e31d62a33e4e,140,battle
632,"so we need to be just as aggressive on all fronts, we can't wait.","Funds will allow us to pay co-pays, try all forms of treatments that are out of pocket, get to and from out of state hospitals, pay the bills, & keep fighting hard and giving it everything we got.",158,fighting,"No one wants to ask for help but since many have, that's really what we need.",f6270bb4a990846bd82f21dab5b08107,150,battle
943,"Most of this will go towards fighting this disease, but as I said, I will be creating memories with family as well.  ",Thank you all for fighting this with #########,26,fighting,I leave with you; my peace I give you.  ,793a1ef1bcb9587cc3e09805d2b2afbb,18,battle
1067,,"########## (########) - our ####### sister, aunt, wife, daughter, and friend - is fighting for her life.",90,fighting,"Two years ago, in May of 2016 she was diagnosed with stage 3 ##############.  ",27428502135670ae612eaac75dac38fd,82,battle
1436,"If you are unable to help financially please share this page and send positive thoughts, words of encouragement, prayers, and love his way.",He WILL beat this!,12,beat,,cded8ceadbac2f3defbe6be50bff575f,8,battle
527,"” as they can as a family, without having the grim reality of life with cancer.",##### has fought a brave battle with #################### and had never imagined the pains she was feeling could be cancer.  ,31,battle,"This battle with ################# will not be easy, it will take the strength, support, and assistance from everyone who cares about #####, ###, and #######.  ",134532025685840eda5471fc1767860e,25,battle
1393,####### and his family would greatly appreciate any and all donations to help alleviate the financial stress during this time.  ,All donations will help ####### focus on fighting this battle and becoming healthy once again.  ,61,battle,"With gratitude that can’t be measured, we thank each and every one who donates as well as those who help support #######’s campaign against cancer.  ",4b685263d63eadf36cc050a0c5c640b5,55,battle
8,Done,"That has been a journey, just as life has been, and God-willing, continues to be, day-after-blessed-day.",23,journey,"I wish you a safe, (relatively) sane and exciting journey.",a034469be45554c7f00590ea9d5aafe1,16,journey
1196,"She may miss out on work, which eventually will take a toll on the bank account.","She is a wonderful woman who does everything she can for others, and I just want to do something for her to help her through her journey.",136,journey,"All proceeds will go straight to her, and will be kept back in case of emergency.",ea5b4a8f62b2cd02e0e9b9b14d351fcd,129,journey
1310,##### was not ready to leave us though and he fought to overcome his injuries and finally come home!  ,It was an accident that would change his life forever due to the injuries he sustained but he fought for his life and since that accident has continued to feel the life long effects of his injuries.,100,fought,"Now 22 years later, he will be tested again for his strength and will to fight as he is faced with a recent diagnosis of Stage 4 Lung Cancer, which has spread, to his brain as well as his spine.  ",ec7779257345e4c15a064bd3deeca5de,94,battle
819,We need your help to make sure we can give him the best treatment he needs.  ,Please pray for prestun has he battles for his life and pray that repsonds to treatment again and  that the tumor in his brain responds to treatment .,38,battles,If you would like to send prestun a card please mail them toPlease you can mail them atprestun seibelP O Box 770811,142b640e65dc2e8a8e9dee66ac71a3ca,31,battle
1312,This recent diagnosis is devastating!  ,Many of you know how close our family is and he will have our unending love and support through each and every step but the financial burden of fighting this disease will be unbearable for him and his family!  ,152,fighting,Since the diagnosis we have seen doctor after doctor and we now have an incredible team of doctors at Memorial ###############.  ,ec7779257345e4c15a064bd3deeca5de,144,battle
1118,Those help me to remain positive and have hope!,I can't thank everyone enough for all of their support throughout this whole journey.,84,journey,"We decided to start a gofundme account because we have had so many people ask us where to send in or drop off donations so we figured this is the easiest, safest way!",d6cdaca80c0bc76596bfb34a0ad52c25,77,journey
798,"He deserves the best chance to fight this, please help and give him that chance.",For more information about ##### and what he's going through or if you would like to donate to specific items please clicke here #####'s Fight Fund.,142,fight,,2971852aa50b4f18631c3e2627fe53b7,137,battle
450,"But now, as the efficacy of ########’s western medical treatment wanes, an even greater emphasis is placed on their Native American traditions.  ",The family will travel hundreds of miles to perform and partake in a ritual they feel is key to ########’s survival and I will document their journey.  ,149,journey,I will also be integrating footage shot by ###### and ###### in the weeks leading up to and during the journey.  ,d711d3f43a17de16fb2cd638cd86b510,142,journey
1283,"These expenses include, but are not limited to   health & nutrition changes regarding food, supplements, herbs, certain machines, specific lymphatic system therapies, medical consultations and treatments.",We have already begun the road back to health and believe combining all of these treatments is what is necessary to have the best chance of me WINNING.,150,winning,"In addition, we will also have much of our normal work time eaten up with the time it takes to beat cancer & that cost us lots of money.",66075775830ac35b47ed922fe91d19fc,143,battle
268,"The doctors have all but given up on him, stating that his chances of survival are slim.",What they don’t know is that ##### is fighting back in the realm of his subconscious mind.,46,fighting,But his strength is slipping as the relentless beast continues its attack.,658aa505fdd00c7ee71fd3fc9c87de8d,38,battle
1246,"Any amount of support, whether it’s a single dollar or sharing this GoFundMe, would be immensely appreciated by my family.",Thank you for helping me give my mom a fighting chance.,47,fighting,,8d90026fc39380502ce438f1ffb3186e,39,battle
1405,"On July 17, 2018, heaven gained the most beautiful angel.  ","After struggling with a vicious brain tumor for over four years, a woman so incredibly special to us, just couldn't fight the fight any longer.",121,fight,"Her husband, my brother, ####, who doesn't know we have created this fundraiser for him, was her true hero.",4da58b8623a377eaa7bd6182cbb91aae,116,battle
439,"Join him as he enters the (not so) exclusive ###########: sample chemotherapy cocktails, select the perfect funeral playlist and marvel at ############# life- saving stem cell machine.","From diagnosis to remission, relapse and treatment: experience a young man’s journey with cancer in this honest and inspiring exploration of modern science and the human body, discovery of self-mortality and celebration of life!",84,journey,"###### of ##################################, ######################## started life as a short story performed at #####################, and has subsequently gained developmental support from Old ##############, ########, ######## and ################## and #############.  ",02a6b2d3d7895a65e52dbc13b814ddc6,77,journey
1447,######...,It’s one of the ####### battles people can go through ...  ,31,battles,"I've seen friends family and so may others suffer personally or from a far, and I can without a doubt tell you that it hurts all the same.  ",1a4dd1267a12c6fc82c6bd855e3b6cc0,24,battle
441,"######################## is a story of hope, celebration and humanity.","It follows my journey with #######’s ########, from diagnosis at 19 to remission, to relapse and to learning my mortality.",21,journey,"It is a first-hand account of facing cancer at a young age, but in a broader sense it explores what cancer actually is, the effects it has on the body, mind and those around us, and how we fight it – aspects",02a6b2d3d7895a65e52dbc13b814ddc6,14,journey
180,"I’m going to spend a lot of money and time on something with no guaranteed return on investment, but its an exciting opportunity to take the next step in my career and challenge me as a director to show the world my very best work.",And I hope you'll join me for the journey!,41,journey,BUDGET:,67deff55fd89386cd68c7f1eecbcaefc,34,journey
1427,"I am reaching out to all friends and family to donate to help them with medical expenses, procedures that may not be covered by insurance and to help them out financially during his battle.","I know they will brave this challenge as they have in the past, but not having to worry about extra financial expenses at this time will help them to focus on winning this battle.",166,winning,My heartfelt thank you and gratitude to all who donate.,3c14eddfd3f8e3b1aa8e47ba303e4ac8,159,battle
1305,We now ask for help during this holiday season to help with the overwhelming financial burdens as he can no longer work.,"The money donated will go to his medical bills, mortgage payments, utilities, food, and treatments needed to help him fight his stage 4 cancer!",123,fight,"If your own personal situation would make it difficult to donate funds, we ask for your prayer that God will continue to provide and that you help us spread this donation message on your social feed to drive awareness.",c184c0ce4ea11a087cbb9bab994072b6,118,battle
1058,She is now undergoing chemo and steroid treatment and her #### symptoms are intensifying the struggle.,"We are heartbroken and angry, but will stop at nothing to fight for our little mama.",63,fight,"We trust that ###### will return to her silly little self, but the journey toward remission has only just begun.",03523280bb2be291c21937de74ed049a,58,battle
1348,"iWe appreciate everything, and we are especially grateful for the prayers...",You ALL will help us win this fight...,24,win,much love--,8ce57f2a317588169ea2c03733b6fcd2,21,battle
325,"########################## is a collection of recipes written by award-winning chefs, created specifically for people going through taste-change during cancer treatment.","Let’s help steal back some joy in food, and win little battles with taste while doctors fight the war.",47,win,As featured on #######: Why is this needed?  ,47b940346c267468a136a4ecd50f156a,44,battle
1304,,"First thank you for visiting the page for our amazing, strong father ####’s battle with #####################.",82,battle,"Your support will go towards medical bills, mortgage payments, utilities, and treatments needed to help us get through this difficult holiday season.",c184c0ce4ea11a087cbb9bab994072b6,76,battle
205,"############## managed the impossible in Mama’s ######, allowing us to have those tough discussions with our young children in a way that not only wasn’t scary, but could make it fun too.","This book is a blessing and I hope it finds its way to all the mamas bravely fighting for their knights.""",85,fighting,"""############# brought tears to my eyes and made my two little boys feel like brave heroes!",5fa9359df5792e368df5f45a71379ec2,77,battle
1015,"It had been picked up on his follow up pet scan, while dealing with this he has also had several surgeries on his foot and ankle which is still a result from falling 30 feet down an elevator shaft back in 1996, his last surgery on his ankle was in July of 2011 while he was in hospital",we had fought to get him medicaid in which he finally got in January of 2012 he had been complaining of a sore spot on the back of his tongue and neck in which his medicaid Dr would not look at,13,fought,she said it was for a Dentist to see and sent him for blood work as a result of his blood work,62a59509895249bf1374146416a0d900,7,battle
308,My project is to share my cancer journey through a book of pictures.  ,"My journey from being diagnosed, chemo treatments, radiation and the effects on my family.",10,journey,"Being diagnosed at the age of 39 with four children and a husband, seeing the effects through my eyes, the patient.",078b614b7f92340c4734ccf8bf95b6ed,3,journey
284,You may now get involved in the making of this inspiring documentary.,"Led by ############################ and multiple award winning filmmaker, ##############, a camera followed #### and his family’s unfolding story, for over a year.",62,winning,#### also filmed personal diaries and took photographs throughout his journey.,a0b208ac955ae734936de40b579f4e01,55,battle
1257,"If possible feel free to reach out to her, to send some love, write her a note of encouragement, donate or all of the above!",Cancer is a battle no one should face alone.  ,18,battle,###### has continued to work while going through all of this,e1e83e83a3eaeccc2f7ec3e9609ad34d,12,battle
1300,"– we appreciate you and are in awe of your unwavering support and prayers.- #####'s familyBelow are some pictures of ##### through the years, showing her spirit and toughness - this has been a long fight",but we are going to beat it.,24,beat,,4b8e41fe5c93064149b1e9ef7ad158b0,20,battle
425,but I just wanted to give a little background information as to what I hope to achieve.  ,I hope you can be a part of my journey and be a key component in my dreams coming alive.  ,38,journey,I just want to touch someone's life with my struggles and be a form of hope to persevere.  ,44c9295866c0c2efcf7c10bb47b363f9,31,journey
124,Because it’s time to fight!,"Not only fight, but beat cancer.",14,fight,We’re talkin’ ########!,297aa1c43ceada212dcbf29e76837a7b,9,battle
371,"The diagnosis had a significant resonance, as her mother was diagnosed with ######## inflammatory breast cancer at age 38, and miraculously survived- only to succumb to pancreatic cancer at the age of 56.","She was losing her mother when she received her #### diagnosis, but as she wanted to protect her mother from altering her own life choices, she kept her diagnosis from her and continued to lend her support as her mother fought and ultimately succumbed to her battle.",265,battle,"The creator's mother passed away on September 9, 2012, and she herself had her last two surgeries in relation to her own double mastectomy in October 2012 at the age of 26.   ",0020a965c98ee6a963769fd0b46e4e77,259,battle
191,We promised each other that when she was better we would begin work on our restaurant.,My mom lost her fight on 02-09-15.,21,fight,I feel that the best way to honor my mom is to go through with it and make her dream a reality.,0e8fdd49e6857ebca7a44585eaf585aa,16,battle
1392,####### and his family would greatly appreciate any and all donations to help alleviate the financial stress during this time.  ,All donations will help ####### focus on fighting this battle and becoming healthy once again.  ,49,fighting,"With gratitude that can’t be measured, we thank each and every one who donates as well as those who help support #######’s campaign against cancer.  ",4b685263d63eadf36cc050a0c5c640b5,41,battle
1112,but there is a lot of money needed for all the treatment he needs to win this battle.,I Strongly believe that now is the best time to support him and give him a better chance to defeat this ugly illness.,98,defeat,His goal for the future is to make knife throwing a well known and respectable sport and get it to the Olympics one day.,ed73fae3df295adc09c7905f4f832121,92,battle
854,As well as for my whole family.,I've been battling ###### for over 7 years and was deemed terminal in 2012 giving me 2-3 years.,18,battling,Well I'm a fighter (going on 6yrs strong) and won't go down without a fight.,e5d81e197d192062024585e056a509b8,10,battle
54,That would be the only worthwhile reward to this whole breast cancer battle.,Thank you again for being part of my journey - and my story.,44,journey,,c4a5157ebf494c90c2b74190a6996cde,37,journey
475,"That year, I ran both a marathon and an Olympic distance triathlon and participated in the triathlon again in 2008.","Through personal fundraising efforts, I have raised $10,000 for ############################### to help fight cancer.    ",109,fight,"Since then, these causes have been close to my heart and I became more passionate about helping this society when my 85-year-old grandfather passed away from a six-month battle with ######## in 2012.",4d2fa6bb84bf410fa26569d7a89dca06,104,battle
231,"############### (Writer/Director) was born in ############, ############ and grew up in #########, ######## and ######, #######.","####### graduated ################## in 2007, where she worked closely with award-winning filmmakers ########, ###############, ######### and ############.",89,winning,"After college ####### worked at the ######’s Vineyard Film Festival and as assistant to ###############, writer/director of #### DON'T ### and #########.",9accdd1d4f202ef923e021ee8e055108,82,battle
600,"After surgery, #### has worked to make sure that he is living as clean as possible.","Juicing, not eating meat, eating ONLY foods that are designed to fight cancer.",70,fight,#### is trying to stay away from having to take ############.,d6d38cae633a7311fffc48420bdb6704,65,battle
691,,Help ############ Beat Cancer!,22,beat,"Alex is a charismatic, energetic little boy with loving parents (##### and #############) and a sweet older brother (####).  ",fb057f93b89171704e6bdaca67c10b63,18,battle
329,I currently offer awareness products on a very small scale.  ,It is so nice and sad when a customer thanks me for offering an awareness product for something they are battling and noone else acknowledges.  ,113,battling,Having loved ones with cancer and seeing those with illnesses that may not even be acknowledged I would like to be able to offer something supportive or to help financially by offering products that can raise money.   ,8fae21072f798262f25c12ee4b1576c6,105,battle
1077,"However, the cost for the second drug is approximately $3,000 every 2 weeks, a total nearing $30,000.  ","Although ######’s Mom, ##############, has fought tirelessly on his behalf to have the drug publically funded, to date this has not happened.  ",49,fought,"To further add to their difficulties, ##### and Dustin travel to ######## on a weekly basis sometimes staying overnight, for medical appointments, and treatment.",b81af7f150b032f4a2f558582e789eae,43,battle
1289,I am grateful for my loving god.  ,"I fight for those that have passed, for those that are fighting alongside me, my family, and my friends.  ",7,fight,I will not let this beat me.,76d8ab9be22550e3b6a9816f80919dff,2,battle
633,"#####################’s story began just like anyone else who has come to this country, facing her fears and taking on new challenges to grow as a person.","Nevertheless, ######### has been tougher on #### than on most of us, and today she is facing what is perhaps the biggest challenge that anyone could ever face on this journey: a fight against cancer.",183,fight,But #### is strong!,33118ec40abf957bff83f172c0b2974c,178,battle
776,,This cancer journey has been a long road with a lot to handle.,19,journey,It's been eight years since my original colon cancer diagnosis; two years ago I was diagnosed as terminal.,beb7186a20586ce15123eb8e1b0db096,12,journey
1401,#### recognizes no barriers.,"It jumps hurdles, leaps fences, penetrates walls to arrive at its destination full of hope.",77,destination,”,4681d7a1934d5b422a59f855ee5557ef,66,journey
132,and everything I've always wanted!,I refuse to spend the rest of my life letting others deter me from the path that was meant for ME!,75,path,"While i've been in remission, I have been writing and recording my first music project.",c8d54ffe261c18d48d1da032971c6d6b,71,journey
612,WHAT CAN YOU DO?,"Imagine the stress of having no income for over half a year, your savings dwindled to nothing, all the while trying to face the emotional and physical challenges of battling late stage cancer.  ",173,battling,You CAN make a difference.  ,185835794541fdd2a3fb3c442e6ce7bd,165,battle
1178,Any little bit you can donate will help.,###'s literally fighting for his life.  ,24,fighting,The least we can do is ease his mind on finances for a little bit.  ,a883952add10d4fded755dd1a98c82c0,16,battle
928,,So many of us want to love on ##### and ####### during her fight against cancer.,64,fight,"Prayers are the most important, as we're trusting God is the ultimate healer.",1d3bed489c9a5d888bd07d505ed0a184,59,battle
360,He has looked into #########'s case for 3 years and he has always admired the strong and positive attitude with which she has always approached the treatments.,"The news that the tumour is still there comes as a surprise to him as well and all he can do is try to convince ######### that there is still hope, if not to defeat the tumour, at least to contain it and to give her more time to spend with her daughter.",164,defeat,"####### is a drama with a particular focus on family relationships, in particular mother- daughter relationship.",0acf6c4a57d3e55ce927209009ee58b3,158,battle
1046,Donate what you can.,"The reality is that fighting cancer is costly, and we are battling on all possible fronts, but we need your help.",28,fighting,We have spent over $1500 in medical expenses this month so far.,0702562a1fc04912977ef0f5b2e4cb4c,20,battle
810,We are reaching out to friends and strangers alike for help on ####’s behalf.  ,We hope to raise enough money to bring #### and her children back together and provide some relief so #### can concentrate on her fight and healing.,135,fight,If you are not able to donate financially but would like to help please email <LINK> for other ways to help.  ,d831eceb52041a339330ea0cee01052e,130,battle
623,"We don't ask why because we believe that everything happens for a reason, even if we don't understand it.","We just knew that this woman, our mother ########### was going to live to FIGHT every single day from that day forward.",79,fight,It isn't easy to accept the harsh reality that we need financial help.,01d39a2e58d29121fcf55959e832563f,74,battle
898,"The oncologist told ###### and ##### that he had stage 4 colon and liver cancer,  it hits like a ton of bricks.",They  were just fighting for their baby girls life less than a year ago and now they  will be fighting for Jeromy.  ,102,fighting,Please pray for them.,7744be8204cf39dab62d04fc288adec7,94,battle
98,"God War, ############",: War on Terror and other independent projects including ###'s Shadowflame #1.,5,war,He very much enjoys drawing his own creations in his spare time and has the best of intentions to release his own book in the near future.   ,e3ca988f3234601c192a9175548bc892,2,battle
796,##### is in a situation where he is making decisions to pay  his mortgage and other bills instead of paying for treatments and health expenses.,No one should ever be debating on paying bills and eating versus fighting for their life.,73,fighting,That's where you come in.,2971852aa50b4f18631c3e2627fe53b7,65,battle
748,"Well, this time ###### needs our help, our support and generosity.","She needs us in the hardest of times, as she is battling breast cancer.",56,battling,"###### was diagnosed with triple-negative, pretty invasive and fast developing breast cancer and had to start treatments immediately after her diagnosis, during a time when she had NO health insurance coverage.",0cbac0ba165db0f5994d7b1b8d9babd4,48,battle
94,"If you are on twitter, you can follow me there as well.","All I dream of and want to do from the bottom of my heart, is to bring a smile to the faces of people from all over the world, and give hope to those who have fought or who are still fighting the battle against colorectal cancer.   ",165,fought,"My motto is ""Don't let the fear of dying, keep you from living"".  ",ff3d45ff83dbfb20b1da0974e4170ab3,159,battle
62,"It combines memoir, the poetry and poetry fragments I wrote daily to keep myself alive, and interviews with all the healers who have helped me along the way from my brilliant doctors at ############### to a Mexican currendera, to a ###### ####### medicine woman to psychics to energy healers to an acupuncturist and other practitioners around the country.","##########’s ice blocks each step, chemo’s aftershocks from sole to fingertips to my bald head,  where I try to reconfigure a path, the  exact trajectory back to human.",130,path,I do not know if I am cured.,51c3e56360bf03feb204056e07540693,126,journey
1442,"Certainly there have been tears, but she has been far more concerned with how this news is affecting her family and friends than she has been with herself.",She has an upbeat positive attitude and is determined to fight the cancer with everything she has.,62,fight,"Her youthful spirit, and deep compassion for others remain on full display all the time",140f417433aa2d5deb3068cfc4347a61,57,battle
288,"Led by ############################ and multiple award winning filmmaker, ##############, a camera followed #### and his family’s unfolding story, for over a year.",#### also filmed personal diaries and took photographs throughout his journey.,77,journey,"Together with the support of ##########, producer, ####",a0b208ac955ae734936de40b579f4e01,70,journey
351,"The  protagonist was inspired by and is based on the late John Challis <###########...)  who was an amazing, unforgettable kid who had a profound effect on me.   ",The story centers on the battle of the bands but the main themes are  that of friendship and loss.,31,battle,"Funding recd will enable me to  pay my team and finish the (stalled at this point) book and meet our  deadlines with ############## so that the book can come out in March, #####.",0bb453de2012135122c3c2c1585234d0,25,battle
1209,"She gives inspiration to look deeply into each other's eyes, take a deep breath when saying ""Hello"" and connect to say, ""I see you.""","As we continue to let the story unfold and discover the ways that the spirit, mind and body can heal, we would love to include you on the journey.",145,journey,We are looking for angels in the community to contribute financially to make more treatments with Dr. ###### possible.,f91ed9fd385b67ccc259ad1fa5da1c88,138,journey
1208,"Consequently, she has lost 65 pounds!",Her healing path has lead her to #### to an orthomolecular physician by the name of Dr. ############## .,16,path,"So far, we have been to #### two times for a total of three treatment sessions with Dr. ######.",f91ed9fd385b67ccc259ad1fa5da1c88,12,journey
971,We will regularly post updates on this site as to how ###### is doing.,"Fuck cancer, let's beat this together!",23,beat,,f9bd7a76d150402bc34ecd889554a80d,19,battle
460,We were able to created so many wonderful memories and we continue to fight and grow to this day.,My children are such an inspiration to others in our community as well as other children fighting the same battle.,113,battle,I want to share our/their stories.,50c9e84e338d033bf324904127a629d4,107,battle
1029,We are hoping to raise as much of these funds by end of the year to start the treatment.,Please hold our hand and walk with us on this journey by donating as generously as you can.,53,journey,We also welcome any information on charities who can help.,ceee693f973735f9e629296950e63df4,46,journey
1140,"####### and #### are both self-employed without the safety net of medical leave, and they have two small children to care for.","Making a ################# needs ongoing help with:- childcare costs - living expenses - medications and supplies not covered by ######### - complementary care - transportation to and from chemotherapy and other medical appointments As ####### is just at the beginning of this journey, there may be additional costs in the future that we cannot account for here.",284,journey,Below is what we anticipate is needed to get them through the first 12 months.,e8df8c0ae6ae4ec6b7693840a301d2e7,277,journey
701,so she can fight this dreadful disease.,We know that we are in for the fight of her life.,36,fight,It is going to be expensive and cost money that we do not have.,d0197a164a4dc13d6f7586e8815674c6,31,battle
