ppt,journey,battle,description
6olwp9wkgswncalm31w5,0,0,Jason has gone through health struggles before and now is facing another one after being diagnosed with lymphoma. He is asking for financial support to help with dealing with the cancer and treatment.
76h75bhjwrp3qh1xqry6,0,2,"Jason has Type 2 Lymphoma. He's fighting really hard to overcome this disease. Right now, Jason is getting ready to start chemotherapy, after finishing radiation treatments. Jason is a strong person, but has his ups and downs. Everyone is praying that Jason will beat Lymphoma."
fn1dz9p0fsyx8py6aezm,0,0,Jason has a heart of gold but has been diagnosed with cancer. He will need to undergo chemo every 3 weeks for about 3-4 months. He will have many expenses.
ttdk4a34hx7lmcswolg5,0,1,"Jason is fighting cancer and needs all the help he can get, so let's help him out."
bnlabjm4n5olrhwwl3l1,0,0,A girl with lymphoma who has been diagnosed and is beginning her chemotherapy treatment. She experienced nausea and fatigue the first few days now she’s feeling better.
jf7rorsyanxvq6q9el3q,0,4,"Jason is in for a long battle with lymphoma, but for now he is keeping the faith and is ready to battle his cancer until he wins. He will have to have chemotherapy and possibly radiation as well, but he's ready to fight."
to5wlh16wh66obopsegx,0,0,She just went through thyroid treatments and now she has stage 2 lymphoma. We are hoping for the best as she goes through chemo and recovers.
28faxo83onk7cjh08qo9,0,0,Jennifer is dealing with some serious health issues
drdlen4o9ps1tc0hvkb9,0,0,He has stage two lymphoma. His friend is raising money for his medical bills.
gvjltd3pzt9tpmb6316s,0,1,"He has been a fighter, and is going through cancer. After the treatments, he is feeling rough and nauseous. We are just trying to help a fellow friend out!"
49l417gmz10pmt5aelam,0,0,undergoing chemotherapy for cancer.
lppwl4zjyl1e4kyt7n4d,0,2,I'd say that Jennifer is in bad shape and needs all the help she can get in order to battle her life threatening illness till she beats it.
xrrn5zrnbnlojxjx7res,0,0,"She is in a confused state at the moment because she's between life and death.
Her situation is in God's hands."
ftd4adb3gbxj13sbt9h8,0,1,Jason has lymphoma and will need to receive chemotherapy every 21 days which will leave him extremely I'll as he tries to fight this disease. He needs donations to cover medical expenses and everyday living.
71vs1ufy45b58x1rg2d4,0,0,she is going through a serious disease
uce0gzw3r5xc68mff6ek,0,0,i will describe jennifer's situation in a very polite manner and make to understand in a very simple manner
2rnfh6u33ccguo0bjxc7,0,0,Jennifer is suffering from lymphoma and one of her close friends started a campaign to raise money to help pay for all the costs as she recovers.
4gkspnkgctezyt4mh5y2,0,0,Jason has lymphoma and is seriously ill. He needs to go for regular treatment and is struggling with the costs involved.
7badha3zr8r8m4gvexyz,0,0,"He have a heart of gold, and he's having chemotherapy after a thyroid surgery. He has just discover a lymphoma. After his first chemotherapy he doesn't felt very well."
c4zj3j4kne892g87weet,1,1,"Jennifer has a very serious disease she is battling. It will require a lot of chemo treatments and a very long, hard road to recovery."
9zek2qqboptsb5aykj6y,0,0,"Jason has cancer and is seeking money for his own personal expenses. I gave him $%, the $45 left will be donated to Save The Children. An effective altruism chairity that does the most good for the most amount of people."
gozd5xr2xoqcl9w09vfh,0,0,Jennifer is struggling with Stage II Lymphoma and now she under Chemotherapy treatment.. She is very bold girl and she should live in this world to explore  a lot..requesting you also to donate for her
71kafbcol7zoj814uafp,0,0,"Jason had a Thryroid surgery and discovered that he had stage 2 lymphoma. Unable to pay for treatments, his friend started a campaign to raise money and help Jason pay for things like chemotherapy."
2rk1hsw3ckq1fbkhrb47,0,0,"Jennifer will still  need chemotherapy after surgery. The chemos is expensive, her friend is asking for donations. Jennifer does not know how long she has to live so any donation to ease her burden of this disease will help. Life is too short give what you can."
5yx4c04mkyoa1lgxy1zo,0,0,This guy went in for thyroid surgery and then was diagnosed with cancer. He needs help paying for expenses related to chemotherapy and just living. Help him out with a little donation.
emq5y83tajut4nlkmvqa,0,0,"Jason's friend has stage 4 lymphoma and needs financial assistance. He is going through treatment and is experiencing some side effects. To alleviate any stress due to the financial burden of him not working and medical costs, the family started a donation fund."
4uw8uaycydz6p6th2rj3,0,0,"Jennifer has lymphoma, which is a form of cancer, and is now undergoing some difficult treatments to cure it."
1bdtqfdc0lq51y40rseg,0,1,He has been diagnosed with cancer. Any money raised would help his family get through this tought time as he fights cancer.
wtqpg56hy6s1fn0kxerl,0,0,her situation is pretty hard to give lot of money to all
j921dlp759p2as3hkrmr,0,1,"Jason is currently battling cancer and receiving treatment. He seems to have a positive outlook, but will need help."
btd9xt5k52dgkt5jsgyf,0,0,Because their conservation it is about like that only ever as shown where are used to as normally both are having like friends situations only so that only ever are asked to that they where ever are used by the generally.
y6jqvsxgcwd36vp9907o,0,0,Jason is someone with stage two cancer. His friend is looking to raise money on his behave.
3vms3t5vdznsf5d63sqd,0,1,Extremely unfortunate. No one having cancer should need to fight the disease while worry about how to pay for treatment.
0gyaoz03jplr7wux4owk,0,0,I would describe his situation as sad and unforunate. It's a sad situation to be in that is unfair and I do hope he gets help.
22u7efkj22ckqanj7kap,0,0,"Jennifer's situation is pretty dire, and it seems that she does not have much time left. She will have to undergo several rounds of chemotherapy and will have mounting medical bills. She needs all the help she can get."
xn4uzj252hslfecb4w7e,0,0,He is raising money for treatment of Jennifer's lymphoma discovered after her thyroid surgery. He is her best friend and is just trying to help her out.
qokfqzvg6guqd5dxhfs7,0,0,Jennifer has been diagnosed with lymphoma and needs chemotherapy treatments for 21 days.
m4weqy4ue0hb78e30bfu,0,0,"Jennifer's condition is very serious, she needs your help to pay for her hospital bills the form of cancer that Jennifer has will keep her in the hospital for a lon time."
hu8ltup3he0mmx45fhv3,0,0,"Be there for a friend by being observant, asking questions, listening, responding and get help for your friend. Never keep a friends suicidal thoughts to yourself."
kab2pbe5fe4lp1k3eo8y,0,0,Jason has lymphoma and is doing better with chemo. Sadly  he still has more expenses he needs funds for.
aaegyj32j23lvwngfo4n,0,0,I feel some what better and adjust the situation and managed her friend
katsd8awcgp1bfsfgf2z,0,0,he has recently had lymphoma and now needs financial assistance. his friend says he is a genuine guy
4bclw46xf8hlfbzh8qjq,0,0,Jennifer needs to recover after chemo treatments. She needs money for expenses.
neemsf2ffofm3s89lqzo,0,0,Jason is recovering from Lymphoma and since it is such an expensive operation he needs some financial support.The treatment lasts 21 days for the next 3-4 months so any support would hep him out greatly.
5hw7db22hdyjx5thhrpb,0,0,Jason is in bad shape after surgery. His illness has the potential to severely impact his livelihood.
f397qo14nvg3xrogawzd,0,0,"Jennifer was diagnosed with a somewhat advanced stage of Lymphoma and will need a good deal of chemotherapy and possibly radiation.  This treatment and recovery will cause her to incur a lot of expenses, and her friend is trying to help her pay for some of those."
uxg7mulybwudtj0aaj8t,0,0,"Jason has recently been diagnosed with stage 2 lymphoma and recently had a thyroid surgery as well. He will need monetary support during his treatments, and I would like to donate my entire $50 should I win the drawing."
dlv0drws7gu6f6n81epa,0,0,"He is recovering from Lymphoma. Honestly didn't read much more than that. I don't really believe in donating to a direct person that way. I prefer to donate to a cause a a whole. So Didn't need to read his story I knew that I thought the donation was mostly a waste, heard plenty a sob story in my life don't need to read another."
gy1kmt6qnhamjpb5axn4,0,0,jennifer is suffering from lymphoma. she really need her friends support to make herself positive. she also need her friends financial support
3ayku9leoc8na1mk17v2,0,0,"I would describe Jason's situation to a friend by telling him his diagnosis and what he has been going through around this time. He needs all the support he can and by doing that we repost , donate and spread awareness."
5mdk706l2z13u9w3txol,0,1,"Jason is battling Stage 2 lymphoma and needs financial assistance to continue his chemo therapy. He can't work due to this, he deserves financial assistance."
bpfomq0qxph75sgbjwwq,0,0,Jennifer's friend has cancer.  She has to get chemotherapy and possibly local radiation as well.
wz9me6552xn98j5qmnhh,0,1,Jennifer had thyroid surgery and was ultimately found to have Stage II lymphoma. She is preparing to fight the disease but needs help with medical and living expenses.
gkhclhtf1188882rubql,0,1,"Jennifer, after undergoing a serious heart surgery, has been diagnosed with lymphoma. Doctors say she will undoubtedly face issues concerning quality of life for an extensive amount of time, due in part to the countless treatments the patient will have to endure, coupled with the battles the aforementioned treatments will assuredly cause."
hc7egysmd57shufgc7yt,0,0,"I like coffee. Mary likes tea. → I like coffee, and Mary likes tea.
Mary went to work. John went to the party. I went home. → Mary went to work, but John went to the party, and I went home."
m680r78z1u2zytuk4qkf,0,0,Hardwork for onlythe reason to help to donate her
j6l72nhe5dzthtu3j8y5,0,0,She is undergoing treatment and in need of financial help
qhs5vk1yy46648wb541z,0,0,Jennifer is a patient who was diagnosed with Stage II Lymphoma due to her diagnosis of thyroid surgery. Jennifer treatments are chemotherapy and local radiation. Her treatments are every 21 days for 3-4 months. As her best friend I am searching for financial assistance to help with her pay for her treatments.
jnh9stw5ohwyszf4m2w8,0,1,Jennifer discovered she had lymphoma after a procedure on her thyroid gland.  She is going to be going through both chemo and radiation to help her try to conquer lymphoma.
sehtsk3zghpo3wat6rv7,0,1,Jason is having a tough battle with lymphoma. Jason needs money for his treatment.
oxe5wwcc44r26kokxoy5,0,0,He is going to go through a lot of hardships and really needs help.
6oxrdwn0ylk10sr4fsv8,1,0,"Jennifer recently had a complicated thyroid operation. She was also diagnosed with type two Lymphoma and will be undergoing a series of chemotherapy every 21 days for about three months. Target radiation might also be needed.
Jennifer endured her beginning chemo treatments and is feeling slightly better but because of the tremendous life altering ordeal .. I am raising funds for her. Her expenses will add up and the fund will help her to navigate this long and arduous journey towards healing."
cmu44d3pwam0pg3yvnh4,0,0,Jennifer has cancer and is looking for help with expenses.  Her friend is concerned and started a gofundme page for her
xjsmxgkn0qsya5opakwq,0,0,"Unfortuanate situation my buddy Jason is in with stage 2 lymphoma. He is doing chemo for the next few months, he will need to be at the hospital a lot."
m8ua0bju9xfqmejyt60h,0,0,"he is in need of donation as he has lymphoma and needs assistance financially for the treatment, he is a good guy"
cusv4p17lhvud6vx9vv4,0,0,Jason is suffering from lymphoma. i want Jason to recover from this condition and stay strong.
3xom0s281xtzgbjm9seq,0,0,Jason needs chemo treatment for lymphoma. Please donate whatever you can.
nlaqlzssf2560bg92rtf,0,0,Jason is a kid who is suffering with stage 2 lymphoma and is currently undergoing chemotherapy. He will be going through treatments for about 3-4 months and is looking to recover through chemo.
sl2kyohf1u3pbaogepf3,0,0,shes a great girl and really could use the help.
8j942q9folfc7jgv56f9,0,0,Jason is raising money for a friend that has a type of cancer. His friend is a good person and any money will help.
e0f64b7zx2cs8ebnjhx9,0,0,I am not sure
m77sun1swt96wjlejhj6,0,1,Jennifer is currently battling stage 2 lympathic cancer.  She will need multiple treatments over the next 3-4 months including chemotherapy.  She has treatment every 21 days.
qy2tfo7hwdze5f23el4d,0,0,i would say its someone that has lymphoma and is trying to raise money to have since they will be fairly tapped out for many weeks to come
gk611lp7bcr06h9erxvt,0,0,Jennifer has lymphoma. She is ready to go ahead with treatment but needs help with expenses.
r3eshvccwvlsuh08eknn,0,0,Jason was diagnosed with stage 2 lymphoma. He underwent surgery and is undergoing chemotherapy every 21 days.
2rd89evcnkbem61w6gre,0,0,"Jason is suffering from cancer and will be in treatment for many months to come. To help with expenses, Jason's friend is raising money for him on kickstarter."
srp0s783e3z2460vznoz,0,0,Jason is in treatment for Lymphoma.  Jason is stage 2.  It looks like he is going to get chemo and possibly radiation treatment.  It looks like he's in for 3 or 4 months of treatment.  His friend is trying to raise some coin for him.
0534yky6zuwsmn800fjo,2,0,"I would say since my friend Jennifer found out she had cancer she has been undergoing brutal chemotherapy treatment which has been quite hard on her as far as side effects go, she has no energy and she will feel this way until chemo is over, she has a long road to go , but I feel she will be on her way to feeling better."
4ym0a7h3ndqtx249cmne,0,1,He was suffers from Stage 2 Lymphoma. His life is battle with this disease.
889foboua7ojvpf4rlg4,0,0,Jason is currently going through chemo and his friend is raising funds to help him get through the process. As the therapy is expensive and has awful side effects the funds are being raised to help Jason out.
96hr2gngsyshe20xxu7s,0,0,He has a good heart of Gold
uvm3cw2z3spp8qrv8cm0,0,0,terrible
eyxmg8kvjwdjl01f1ec0,0,0,Jennifer has cancer and is about to start chemo. These treatments will happen ever 21 days for 3-4 months.
s5qd7k6qh9vgjkud56kk,0,0,Jason has recently begun chemotherapy after finding out he had cancer after a thyroid surgery. His friend is raising money to help cover the medical expenses.
bduldnapu7w5l3v84no2,0,0,She was undergoing a surgery that made her weak and she ended up with stage 2 lymphoma.  She is a good person and struggling with this.
67kdyno7dj342790j8h5,0,0,"Jason developed lymphoma and is currently in treatment. His friend is raising money to help him pay for the costs of treatment, etc."
qal913afyprmblychftt,0,1,She has stage 2 Lymphoma and has been courageously battling it for a month or so. She is in chemo treatment and radiation.
0sxmrromqh5ds2pl1p6s,0,0,He has cancer and has to undergo chemotherapy and possibly radiation too.  The chemo made him ill for a few days but he is determined to get through this and be healthy again.
kw7dnmrcp7zpl0tcd70n,0,0,Jason is undergoing treatment for lymphoma. His spirits are high but his medical condition is causing him financial strain.
zbcygyp3yrfs88tgquss,0,0,He is a person who has some health issues. He was diagnosed with cancer recently.
t0zxe81qsknwsqt05glg,0,0,"jason want help to live , so i want to donate"
zw6a0qzsj0n7r18n36fh,0,1,I would describe it as very unfortunate. A young man with passions and a bright future in front of him shouldn't be going through what he is currently going through. But he is a fighter and with our help he will receive all the treatment necessary.
2vxseuhjcmawns4mxh1k,0,0,"Hurting and grasping on to life. He realized that life might shutdown but without your help he might die. Fear and longativity, he needs the help."
8od4own1h1qhb5hqzt95,0,0,He was recently diagnosed with Lymphoma after having thyroid surgery. He has finished one round of chemotherapy and expects to have several more over the next few months.
nbkdb98kumx7hehoge5h,0,1,"I would say that Jason has Stage II cancer and is going through chemo in order to fight it. According to his friend, he's a strong person who just wants to put this disease behind him."
jpzr36lo4vdoznw2xtnc,0,0,Jennifer has cancer and needs treatment. she is not able to pay for it herself
qbkugvymj7quo6bhqf8o,1,0,"I would tell my friend that Jennifer just has surgery and is now having to undergo treatment for Lymphoma and has a tough road ahead.  I would express sympathy for this person, as I understand how hard it must be to go through something like that!"
valuwn70681rtq3xvmm1,0,0,"Jennifer is facing a very difficult time medically.  Because of the cost for treating her disease, she's going to need financial help."
njthz7mlcbo3sfhd3vfe,0,0,It is very difficult
7dq1djth3ks842986ukr,0,0,A guy has had surgeries already and now needs more and chemo because he has cancer.
1ndgjg6cn8y82n6avks3,0,1,He is battling stage 2 cancer. He had surgery and is currently undergoing chemo. His treatments are every 3 weeks. After his treatment he has a few days of nausea and weakness. He is incurring a lot of expenses and could use help covering the cost.
hn7scqg7k13l0bftj3sl,0,0,Jason has been diagnosed with cancer. He will need chemo every 3 weeks for over 4 months. His friend is trying to raise money to help him with his medical bills.
a1gxwuvnhlwyo5wsb9vp,0,0,Jason has been diagnosed with thyroid cancer and needs to undergo costly treatment.
5uw34pqmc0z2h3pn3ecj,0,0,"Jason is suffering of  lymphoma and he is not able to cover all of his treatment in order to save his life, thats why he ask other people for help."
jqgvb8bas3oy6wd3jpqc,0,0,Jason is a young man suffering from Lymphoma. He needs people to donate money so he can get proper medical care.
zo44r3mb4pf5gd62jfm6,0,0,"He just got diagnosed with lymphoma, had surgery, and is now on chemo. A friend is collecting donations to get him through this situation."
dy96zubatwjfjnoafvq7,0,0,Jennifer underwent surgery and now has lymphoma. She need chemo and radiation.
pa5a6jvl35gp8y6091kn,0,0,jason is an critical situation. he has cancer but have not enough money to cure the disease.  please the help the person to live in the world.
xp8696u1pn0henn75fqj,0,0,I will tell my friend that Jennifer is suffering from a chronic disease and she needs all the help she can get. The only way we might be able to help her is by donating to her medical expenses.
m31mewakglu3sj6jg0sh,0,0,Jennifer is a nice young lady who is has been suffering from cancer. She needs some financial help to help get through this
0gu4jmkj6eldk2uooxwz,0,0,"Its really considerable to donate some amount, due to poor situation of jason.Always willing to donate these kind of persons"
9t1tk8211a6ok9j97d85,0,0,she is going through cancer treatments for lympnoma.  She has to go to chemo and possibly radiation.
eyhv3237f2hdnf82ghzb,0,0,Jennifer's situation is worsening. She is suffering from cancer.
pwobwjnceoazx2bq2009,0,0,Jason is someone who had thyroid surgery. He then learned he has stage 1 lymphoma.  He is going through treatment.
5lglovdp5o0vy9d9yw0x,0,0,She has cancer. She could use help paying the bills.
d50ws19f2hy3r1bf6vcn,0,0,jennifer just went to thyroid surgery and now suffers stage 2 lymphoma. jennifer will go through extensive treatment involving chemotherapy.
by44ktca21b9bstcjr75,0,0,Jennifer has been diagnosed with cancer. She is in need of financial support.
ngfmjkrog621kr2rd6j6,0,0,Jason has lymphoma and is undergoing chemo. He is hopeful for the future. He worries about the costs of treatment.
ltjgkten88e4mx90za6g,1,0,"Jason has been diagnosed with something my Father eventually succumbed too - cancer. While insurance pays for many medical items, things such as parking, food, care and other items aren't - and that's where contributions like this can greatly help. Jason has a long road ahead of him."
ewhdn6c1j2ldtxnm2ku3,0,0,"This person got stage 2 leukemia after undergoing surgery and now needs to get a lot of expensive treatment. She can't afford it on her own, and the medical system in America is so broken she needs to crowdsource funds so she doesn't die."
7njdgq37438rw1uxvtbd,0,1,He is battling a very life-threatening disease. He needs all the financial assistance he can get to make it through.
pqypjeb36814qyg1ft0c,0,0,She has lymphoma and has to do therapy
4w4dmvsarsfo4o7f6tsj,0,0,Its not Good but little growth and jason's of situation next level to move hime self.
8dwqlohjz0l92yvdpnp6,0,1,"Jennifer is suffering from stage 2 Lymphoma, and faces a long battle with chemotherapy, etc, etc.  She could use all the financial help she can get, to help pay for treatments."
o3ro56vugegxoojogsf8,0,0,He is dealing with stage 2 lymphoma  cancer which he got diagnosed with after having lymphoma surgery. He will have to undergo a lot of treatments in the next 3 to 4 months. His friend is helping to raise money to cover the expenses from all of this.
xqw72nfzwazneggd73ft,0,0,Jason has cancer and needs multiple rounds of treatment. Donate to help his medical bills.
lt2hqhjb7gsugc3by8k0,0,0,jennifer is suffering from her chemotherapy treatment. she needs money in order to support herself through this endeavor.
hqnyatu6gcgz8b3mmd6w,0,1,"She is suffering from a terminal disease, but is bravely battling. Her best friend is raising money to help with the many bills that are unreimbursed"
ttcyvp5xjlbww9u1ftq2,0,0,He has Stage II Lymphoma. Cancer treatments are expensive and his friend is raising money for him.
we1dszu85ny66htw7cna,0,0,He is up in spirits. His friend is trying to help out because he just got done with his firs treatment and he has to do it for 4 months every 21 days.
kx4hmrz4pvcuyxq70d7p,0,0,He is in bad shape with Lymphoma. He needs treatment every month for the next 3 to 4 months. He needs help with the expenses to pay for it
2q4t98pum0hau7ze913t,1,0,"Jason has stage 2 lymphoma, which is a cancer. I am helping pay for his expenses on this difficult journey."
mdcbyv1ad0ka08texz3t,0,0,"Jennifer is a great hard-working person who just got over a thyroid surgery and now got hit with Lymphoma. This poor woman is toughing it out after receiving hit after hit from life. I feel so bad for her and want to help out since this horrible just by itself, but following thyroid issues? I hope she gets better with help, no one deserves to go through all of this at once."
o1lhc1qp82k6d5huk0zu,1,0,She is undergoing chemotherapy and has had some rough times. She has more rough times ahead.
bcmrge5ahs5fnq6dg6aw,0,0,Jason was diagnosed with Stage two lymphoma after the thyroid surgery.  He will receive treatment every 21 days in the next 3-4 months.
kdet2xahr6j7e1rh5fsx,0,0,"hey hi man , my friend jason is getting anger of his illness. i  need him to be terat well , so will you please donate as much you can.."
3w7yw3ngcdkov3bem13t,0,0,"She has cancer and is faced with a difficult treatment. But she also has loving and supportive people who care about her, so her chances of recovery are improved somewhat."
0bzvpo4a3jd6ljjy6lzq,0,0,"Jason has stage two cancer that's targeting his lymphatic system, and is undergoing expensive treatments for said cancer. His friend is currently crowdfunding additional money to help Jason in this tough time."
3ry9lyz46c38nsg4bc4f,0,0,"Jason's situation is that he has been diagnosed with Lymphoma, and will need to get treatment for it. He is experiencing nausea, and will need several treatments over the next months, and they are asking for money to be able to provide him with those treatments."
y3htrp436263hbv2u4v1,0,0,She needs some help.
1pj55etrucwgukfukq3m,0,0,Jason has been diagnosed with Lymphoma after undergoing a Thyroid surgery. He will be in rough shape for the foreseable future as he will need multiple rounds of chemo for about 4 months.
lf97cyjahjwlcgwgup0c,1,3,Jason is fighting Lymphoma a form of cancer.  He also recently underwent Thyroid surgery.  He has had one round of chemotherapy and several more to come at 21 day intervals.  This is the same form of cancer my sister had so it is close to my heart.  I know he will be in for a rough road ahead as he battles through chemotherapy.  It won't be easy.  His best friend has set up a fundraiser to help alleviate some of the money worries as he goes through this battle.
840thpr1w5bhwlt1tn1g,0,0,She is ill with lympoma and will have to unndergo several rounds of chemotherapy. She needs money to help pay for her treatment.
ryaynd8fo303ae5ux3cu,0,0,Jennifer is suffering with cancer. Her friends hold her in high esteem and are look forward to a speedy recovery. Jennifer will require several chemotherapy treatments over an extended period of time.
y79roprqtwca7zbpr3ov,0,0,Jason is this cool guy who got cancer not long after having surgery for something entirely different.
63owapo2nx1p0d12qs87,1,0,He has Lymphoma and has a long journey ahead of him. He had thyroid surgery and now is going to need a ton of treatment.
9gpc5zcy3vz0fjljx26v,0,0,Jason has a stage 2 lymphoma disease and he is a good person.
go9uj44e98pc99cza99x,0,0,Jennifer has stage II lymphoma and will need many surgeries and treatments over the foreseeable future. She's undergoing chemotherapy and needs to be able to pay for these expenses.
hkbz3ve6uw0p7f15zmt4,0,0,Its is bad. He has cancer and people love him. People will miss him and that is sad.
ewerfqxkao5fpqpr61hy,0,0,He is in a tough position at the moment and needs help.
