donation,cond_sex,cond_metaphor,past_donations,urgent,sympathy,self_cancer,ff_cancer,gender,education,socioeconomic,age
0,female,journey,9,3,6,N,Y,F,OO,25-50k,57
25,female,battle,0,6,6,OO,N,OO,D,75-100k,59
42,male,battle,1,6,6,Y,OO,OO,M,>150k,41
25,female,journey,2,6,6,N,OO,F,A,50-75k,72
23,female,battle,5,4,6,N,Y,F,D,OO,36
0,female,literal,0,6,6,N,OO,M,B,100-150k,23
0,female,battle,4,6,6,N,Y,F,OO,OO,63
22,male,journey,3,6,6,N,Y,F,OO,100-150k,56
37,female,battle,2,4,5,N,N,M,B,>150k,35
7,male,literal,0,6,6,N,N,F,OO,50-75k,67
25,male,literal,7,6,6,N,Y,F,P,>150k,30
4,female,journey,7,6,5,OO,Y,F,P,<10k,46
30,female,battle,5,6,5,Y,N,OO,<HS,75-100k,31
35,female,journey,0,4,6,N,N,M,<HS,75-100k,34
25,male,journey,5,2,6,N,N,F,M,OO,51
25,female,journey,2,6,4,N,Y,OO,A,50-75k,22
40,male,battle,4,5,6,N,N,M,A,50-75k,29
42,female,battle,6,6,5,Y,Y,M,P,OO,40
50,female,battle,13,6,5,N,N,F,P,>150k,54
0,female,literal,5,5,6,N,N,M,P,OO,77
29,female,journey,8,4,6,N,Y,F,D,>150k,43
50,female,literal,7,6,6,OO,Y,M,B,<10k,62
11,female,battle,6,6,6,OO,Y,F,M,100-150k,79
25,female,battle,10,6,3,N,Y,OO,D,100-150k,38
43,male,journey,2,5,6,N,N,OO,M,OO,63
11,female,battle,6,5,6,N,N,M,M,100-150k,54
50,male,journey,0,6,6,Y,N,F,A,75-100k,22
0,female,journey,4,6,6,N,N,F,<HS,75-100k,72
15,male,battle,3,0,6,N,N,F,M,<10k,70
26,female,literal,3,6,6,Y,Y,M,D,100-150k,64
13,male,literal,1,3,6,N,N,M,<HS,OO,64
10,female,battle,7,2,6,N,Y,M,B,10-25k,47
28,male,journey,2,4,3,OO,N,F,B,OO,33
13,female,literal,14,6,6,N,Y,M,A,<10k,59
44,male,battle,7,6,3,N,N,F,HS,<10k,20
32,female,battle,3,5,5,N,Y,NB,B,>150k,57
50,female,battle,2,5,5,N,N,M,M,25-50k,77
14,male,battle,22,5,6,N,Y,F,D,<10k,59
7,male,journey,1,6,6,Y,N,M,A,25-50k,21
20,male,journey,3,6,5,N,OO,OO,B,OO,54
39,male,battle,1,3,6,N,Y,NB,HS,>150k,44
25,female,literal,12,6,6,N,Y,M,M,10-25k,58
21,male,journey,26,6,6,N,Y,M,A,10-25k,31
50,male,journey,3,4,6,Y,N,NB,OO,10-25k,39
28,male,battle,9,6,6,N,N,F,M,50-75k,66
34,female,battle,8,6,6,N,N,F,B,50-75k,59
25,female,literal,12,5,6,Y,OO,OO,B,OO,66
41,male,battle,0,6,6,Y,Y,M,HS,50-75k,47
0,female,literal,1,4,6,N,Y,F,HS,25-50k,34
4,male,journey,11,5,5,OO,Y,F,HS,<10k,56
39,male,battle,3,6,6,Y,N,F,OO,50-75k,73
16,female,literal,1,6,6,N,N,NB,A,50-75k,57
25,female,battle,2,6,5,N,Y,M,B,OO,29
50,female,literal,0,6,5,N,Y,M,D,100-150k,40
36,female,journey,5,6,6,N,N,M,D,10-25k,24
9,male,journey,1,6,4,N,N,M,M,<10k,71
14,male,battle,0,5,6,OO,N,F,P,100-150k,73
50,female,literal,8,5,6,N,Y,F,B,100-150k,25
25,female,literal,0,6,6,Y,N,OO,<HS,>150k,66
27,female,journey,9,5,5,N,N,F,P,10-25k,43
6,female,journey,14,6,6,N,Y,M,M,OO,61
44,male,battle,14,6,6,N,N,M,HS,50-75k,44
47,female,journey,12,6,5,Y,Y,F,OO,>150k,63
50,male,literal,1,6,6,N,N,F,M,25-50k,38
50,female,battle,2,5,6,N,Y,NB,M,OO,78
11,female,battle,5,6,6,N,Y,M,OO,<10k,44
25,male,battle,8,6,6,N,N,M,OO,100-150k,42
9,male,journey,10,6,6,OO,N,OO,P,75-100k,26
50,male,literal,0,5,5,N,Y,M,<HS,10-25k,49
3,female,literal,2,6,6,N,N,F,D,>150k,39
7,male,battle,1,6,6,OO,N,F,B,50-75k,48
41,male,literal,0,6,6,Y,N,M,D,OO,75
50,female,journey,9,6,6,N,Y,F,A,OO,20
34,male,journey,7,3,5,Y,Y,M,D,>150k,47
21,female,battle,0,6,5,Y,N,F,A,25-50k,74
0,male,journey,2,6,6,N,N,F,M,50-75k,47
14,female,battle,6,6,6,Y,N,F,B,75-100k,46
22,female,journey,0,6,6,OO,N,F,<HS,OO,47
50,male,literal,0,6,6,Y,Y,M,D,25-50k,78
28,male,journey,2,4,5,Y,N,NB,P,>150k,55
0,female,literal,5,6,5,N,Y,F,OO,OO,22
12,female,literal,5,6,6,N,OO,M,B,10-25k,29
36,female,battle,0,6,5,N,N,M,HS,25-50k,77
0,female,literal,0,6,6,Y,N,M,OO,10-25k,44
35,male,literal,3,4,6,N,N,M,P,50-75k,29
28,male,battle,2,6,4,N,Y,F,P,>150k,56
17,female,journey,3,6,6,N,OO,M,M,50-75k,65
6,female,journey,1,5,6,N,Y,F,P,>150k,73
36,female,battle,0,6,5,N,Y,F,<HS,OO,76
0,female,literal,5,6,6,Y,Y,F,D,<10k,28
13,male,literal,2,6,6,N,N,F,P,10-25k,67
30,female,journey,1,6,3,N,N,M,M,25-50k,33
25,male,literal,2,4,6,Y,N,M,P,100-150k,21
26,female,literal,2,6,6,N,N,OO,<HS,50-75k,57
36,male,battle,0,5,4,N,OO,NB,OO,OO,36
0,female,literal,1,5,6,N,OO,M,M,100-150k,22
15,female,journey,3,5,5,Y,Y,NB,<HS,OO,71
25,female,literal,3,5,6,N,N,M,A,75-100k,76
7,male,journey,4,6,6,N,Y,F,<HS,10-25k,32
26,male,literal,7,5,6,N,Y,F,<HS,25-50k,48
33,male,literal,7,6,6,Y,Y,NB,P,75-100k,52
17,female,battle,1,6,6,N,Y,F,P,25-50k,19
32,male,journey,6,5,6,N,N,M,B,<10k,39
6,female,journey,1,6,6,N,N,F,<HS,50-75k,69
15,male,journey,4,6,2,N,Y,M,HS,>150k,29
42,male,literal,21,3,6,OO,Y,F,A,25-50k,34
50,male,battle,2,6,6,N,Y,M,<HS,>150k,71
50,female,journey,0,6,6,N,N,M,A,OO,30
50,female,battle,1,5,5,OO,N,F,<HS,75-100k,36
50,female,battle,0,5,6,Y,N,F,D,10-25k,69
11,female,literal,2,6,6,N,N,F,P,>150k,73
9,female,battle,1,5,6,Y,N,F,HS,100-150k,60
8,female,journey,5,5,6,N,N,M,A,OO,73
1,female,battle,1,6,6,N,N,OO,OO,25-50k,64
25,male,literal,2,6,6,Y,Y,F,HS,10-25k,62
44,female,literal,7,5,5,Y,Y,F,A,<10k,69
5,female,journey,2,6,5,N,N,F,M,75-100k,25
0,male,journey,10,6,6,N,N,NB,HS,75-100k,42
50,female,battle,0,6,4,N,N,M,D,75-100k,39
20,male,battle,1,6,5,Y,N,M,B,100-150k,72
37,female,literal,3,5,4,N,Y,M,D,50-75k,34
34,female,literal,0,6,6,N,Y,M,D,10-25k,45
30,male,literal,4,2,4,N,N,F,<HS,50-75k,50
8,male,journey,0,4,6,N,N,M,A,50-75k,37
25,female,journey,1,6,6,Y,OO,F,B,75-100k,28
34,female,battle,5,5,4,N,Y,F,HS,75-100k,57
25,male,literal,10,6,6,OO,N,M,HS,10-25k,54
32,male,journey,13,4,6,N,N,M,<HS,25-50k,26
1,male,literal,8,5,6,N,N,M,P,50-75k,75
24,male,battle,0,5,6,N,N,NB,A,OO,64
45,female,battle,0,6,6,N,Y,F,A,>150k,66
50,female,battle,7,2,6,Y,N,F,OO,<10k,41
8,male,journey,0,6,4,N,N,M,OO,50-75k,69
8,female,literal,0,6,6,N,Y,F,OO,10-25k,34
50,female,literal,2,4,6,Y,Y,M,A,100-150k,60
22,female,literal,7,6,5,N,Y,F,<HS,>150k,36
39,male,literal,5,6,4,N,N,F,HS,10-25k,65
50,male,battle,7,3,6,Y,Y,M,B,75-100k,54
15,male,battle,2,6,6,Y,OO,M,HS,50-75k,39
25,male,battle,9,6,6,N,N,F,OO,25-50k,20
29,female,literal,0,6,6,N,Y,M,A,>150k,79
25,male,literal,5,6,6,N,N,M,P,75-100k,30
15,female,battle,0,6,6,N,N,NB,B,100-150k,76
17,male,journey,0,5,6,N,N,F,HS,50-75k,60
31,male,literal,3,6,6,N,N,F,D,75-100k,41
50,female,journey,2,5,6,N,N,F,OO,>150k,69
38,male,journey,8,6,0,N,N,OO,B,OO,69
19,male,literal,6,6,6,N,N,F,A,75-100k,70
32,male,battle,3,5,6,Y,N,F,B,>150k,56
32,male,literal,0,3,6,N,N,OO,<HS,75-100k,32
18,male,battle,13,6,6,N,N,M,<HS,75-100k,37
30,male,battle,8,6,6,N,OO,F,P,>150k,61
50,female,battle,0,5,6,N,Y,F,B,75-100k,76
25,male,literal,11,6,6,N,N,OO,<HS,50-75k,51
48,female,journey,5,6,5,Y,N,M,OO,100-150k,66
50,male,battle,5,6,6,N,N,F,A,>150k,68
37,male,battle,11,5,6,N,OO,F,HS,75-100k,42
47,female,journey,0,6,6,N,Y,F,HS,75-100k,58
0,female,journey,2,6,6,N,N,M,B,100-150k,61
50,male,battle,0,4,6,Y,N,M,HS,>150k,56
36,male,battle,4,6,5,OO,Y,M,OO,>150k,41
25,male,battle,0,5,6,OO,N,F,M,100-150k,64
25,male,journey,21,6,6,N,N,M,A,75-100k,51
5,female,journey,1,4,6,N,N,F,OO,25-50k,47
38,male,battle,8,6,5,Y,Y,OO,D,100-150k,78
25,female,literal,6,6,5,OO,OO,M,<HS,75-100k,61
27,male,journey,7,6,6,Y,N,M,D,10-25k,54
4,male,journey,3,6,6,N,Y,M,A,<10k,42
0,male,journey,8,5,6,N,N,F,D,OO,50
20,female,literal,1,6,6,Y,Y,OO,P,25-50k,66
50,female,battle,9,4,6,N,N,M,A,OO,69
6,female,journey,9,6,6,N,Y,NB,M,25-50k,54
17,male,journey,7,5,6,OO,OO,M,D,10-25k,58
24,male,journey,5,6,6,Y,N,M,A,10-25k,61
34,male,literal,1,6,6,N,Y,F,B,100-150k,46
42,female,literal,4,5,6,Y,OO,M,B,>150k,66
40,male,literal,4,6,6,N,N,F,A,OO,33
8,male,literal,10,6,5,N,N,M,HS,>150k,38
9,male,literal,12,4,6,OO,N,M,P,>150k,30
16,female,literal,0,6,6,N,N,OO,D,100-150k,57
8,male,battle,1,5,6,N,N,F,B,100-150k,26
19,female,literal,7,6,6,N,N,NB,P,25-50k,72
25,male,literal,0,5,5,N,Y,F,D,75-100k,40
32,male,battle,0,6,6,N,OO,F,HS,75-100k,52
5,female,battle,5,3,4,N,N,M,OO,>150k,43
31,female,battle,1,5,6,OO,N,M,A,<10k,53
25,male,journey,1,6,2,N,N,F,A,50-75k,31
0,male,battle,8,6,6,N,Y,NB,HS,<10k,79
25,female,battle,4,5,5,OO,N,M,M,OO,51
43,female,journey,6,6,6,N,OO,M,D,OO,30
34,male,journey,1,6,6,Y,N,F,P,75-100k,26
0,female,battle,2,6,5,N,N,F,M,100-150k,71
28,male,literal,1,5,6,N,N,M,D,50-75k,34
26,male,journey,0,6,6,N,N,F,P,100-150k,44
8,male,battle,2,3,4,N,N,OO,A,25-50k,76
24,female,battle,11,6,5,N,N,M,D,50-75k,68
23,male,literal,0,6,5,N,Y,F,HS,50-75k,48
0,male,battle,1,4,4,N,Y,OO,M,50-75k,60
25,male,journey,9,6,6,N,Y,M,B,10-25k,58
21,female,battle,4,6,6,N,N,M,M,<10k,68
33,female,journey,2,6,5,N,N,F,M,10-25k,22
25,male,battle,0,6,4,N,Y,NB,P,>150k,18
30,male,literal,7,3,4,N,Y,F,P,100-150k,57
49,male,battle,10,5,5,N,N,OO,OO,>150k,67
5,female,journey,6,6,5,N,Y,F,HS,>150k,26
33,male,literal,1,6,6,Y,Y,M,<HS,>150k,54
7,male,journey,5,6,6,N,N,F,D,OO,74
25,male,literal,3,6,6,N,N,F,D,OO,54
47,male,literal,14,6,5,Y,Y,NB,<HS,>150k,40
12,female,journey,6,6,5,Y,N,F,P,10-25k,36
46,female,battle,1,6,6,Y,N,NB,D,OO,26
32,female,journey,4,4,5,N,N,F,B,50-75k,74
27,female,literal,10,5,5,N,N,F,P,100-150k,51
28,female,battle,8,4,2,N,Y,F,A,10-25k,65
37,male,journey,8,6,6,N,N,M,HS,50-75k,22
24,male,journey,1,4,6,Y,Y,OO,B,OO,58
16,male,literal,3,4,6,N,N,F,OO,<10k,68
32,male,journey,2,5,6,N,OO,OO,A,10-25k,44
50,female,battle,11,5,6,N,OO,OO,OO,>150k,33
49,female,journey,4,6,4,N,Y,F,P,<10k,43
25,female,literal,0,4,5,N,Y,OO,D,75-100k,63
12,female,literal,0,6,6,Y,Y,M,HS,<10k,18
50,female,literal,7,6,6,N,Y,OO,P,<10k,29
0,female,journey,15,2,6,N,Y,F,<HS,>150k,60
27,male,literal,3,6,3,N,N,M,B,OO,45
3,female,journey,24,6,3,N,Y,M,OO,>150k,60
16,male,battle,1,6,5,N,Y,F,OO,75-100k,69
7,female,journey,0,6,6,N,Y,NB,P,<10k,22
18,female,literal,12,6,4,N,N,F,B,25-50k,26
49,female,journey,3,6,6,N,N,M,OO,75-100k,22
6,male,literal,4,5,4,N,N,NB,P,50-75k,30
8,male,literal,8,6,1,N,N,F,B,50-75k,76
50,male,battle,1,4,5,Y,Y,M,HS,>150k,43
47,female,literal,0,5,6,N,OO,F,P,75-100k,66
25,female,battle,12,4,5,N,Y,F,D,10-25k,44
23,male,battle,2,6,5,N,Y,M,HS,75-100k,66
27,male,literal,1,6,6,N,N,F,HS,25-50k,20
26,female,journey,11,4,6,N,N,M,M,10-25k,56
25,female,battle,13,6,5,Y,N,M,A,75-100k,21
25,female,literal,8,6,4,N,Y,F,<HS,25-50k,60
46,male,literal,6,6,4,N,Y,M,OO,OO,18
31,female,journey,1,6,6,N,N,M,B,25-50k,22
29,male,literal,1,6,6,Y,Y,M,HS,>150k,62
4,female,journey,1,6,5,N,OO,M,HS,75-100k,40
37,female,journey,1,5,6,Y,Y,F,M,25-50k,72
25,male,journey,10,6,5,N,Y,M,HS,>150k,46
34,male,journey,2,6,4,Y,N,M,A,>150k,18
7,female,literal,0,6,6,Y,N,F,D,50-75k,79
50,female,journey,4,4,6,N,Y,NB,HS,100-150k,43
36,male,battle,3,6,5,Y,N,F,<HS,OO,61
25,male,journey,3,5,5,N,N,M,<HS,OO,22
11,female,literal,3,5,6,N,N,M,D,100-150k,20
25,female,battle,10,6,4,OO,Y,M,OO,75-100k,24
25,male,battle,0,6,6,N,N,OO,OO,<10k,35
42,female,battle,4,3,5,N,OO,F,OO,75-100k,23
43,male,battle,1,6,5,Y,N,F,OO,>150k,33
50,female,battle,12,4,6,N,N,M,A,25-50k,65
4,female,literal,5,4,6,N,N,NB,HS,OO,39
25,male,journey,3,5,5,N,N,F,A,>150k,66
11,female,journey,1,4,6,OO,Y,F,HS,<10k,60
47,male,journey,11,5,6,N,N,M,M,<10k,53
25,female,journey,6,6,6,N,Y,F,HS,75-100k,36
25,female,literal,3,6,5,Y,N,F,M,10-25k,43
0,female,literal,0,5,5,Y,N,M,M,50-75k,48
34,male,journey,3,6,5,Y,OO,M,OO,10-25k,34
13,female,journey,16,6,6,Y,N,M,B,100-150k,65
31,female,literal,6,6,0,Y,N,M,D,100-150k,53
32,male,literal,16,6,6,N,N,F,M,75-100k,30
39,male,battle,3,5,6,N,Y,M,OO,25-50k,40
0,female,battle,13,6,6,Y,N,M,D,75-100k,73
0,female,journey,9,6,6,N,Y,F,OO,OO,44
25,female,battle,3,6,5,N,N,M,P,50-75k,59
25,male,literal,0,6,4,OO,N,M,P,75-100k,77
25,female,journey,0,5,6,N,Y,M,D,OO,73
49,male,journey,14,6,4,N,N,M,HS,50-75k,45
28,male,battle,13,6,5,N,Y,F,B,<10k,72
1,female,literal,0,5,6,OO,OO,M,A,10-25k,43
50,female,battle,24,5,6,N,Y,M,OO,25-50k,39
25,male,journey,6,5,6,OO,Y,F,P,50-75k,35
8,male,literal,6,4,5,N,N,M,P,75-100k,73
11,male,battle,1,6,5,Y,N,M,B,100-150k,30
45,female,battle,7,6,6,N,Y,M,P,>150k,77
42,male,battle,3,5,6,Y,N,M,OO,100-150k,31
4,male,battle,4,6,6,N,Y,F,OO,25-50k,55
27,female,journey,2,6,6,N,Y,M,B,<10k,60
25,female,journey,17,4,6,N,N,F,M,25-50k,70
4,male,journey,1,3,5,Y,N,F,OO,25-50k,54
0,female,literal,5,6,6,N,N,F,M,OO,25
25,male,battle,2,5,6,OO,N,M,<HS,25-50k,78
10,male,literal,12,5,6,N,Y,F,OO,100-150k,50
0,female,literal,1,6,5,OO,N,M,<HS,25-50k,73
37,female,battle,3,5,6,N,Y,M,OO,100-150k,74
5,male,journey,2,6,6,N,N,F,M,100-150k,72
25,female,battle,2,3,6,N,Y,M,OO,100-150k,37
26,male,literal,10,6,6,N,Y,M,<HS,OO,54
32,male,battle,5,6,6,N,Y,F,<HS,OO,45
25,male,journey,9,6,5,N,N,F,D,10-25k,34
25,female,journey,2,5,6,Y,N,F,M,OO,78
0,male,literal,5,6,3,N,N,OO,P,OO,26
32,male,literal,1,6,4,OO,N,M,HS,100-150k,44
50,male,battle,7,4,5,N,Y,M,P,OO,52
8,female,literal,0,6,4,N,N,NB,HS,<10k,72
7,male,battle,0,5,6,N,Y,M,D,100-150k,76
25,female,literal,9,5,5,N,Y,F,HS,>150k,18
50,female,battle,14,6,6,Y,N,F,P,25-50k,39
17,male,battle,13,6,6,N,N,F,B,OO,41
42,female,journey,0,5,6,Y,Y,OO,D,25-50k,34
27,female,literal,6,6,5,N,N,F,HS,>150k,43
38,female,journey,3,6,6,N,N,F,D,10-25k,67
25,male,literal,18,6,6,OO,N,NB,HS,50-75k,38
5,female,journey,2,6,6,N,Y,OO,B,75-100k,43
4,male,battle,6,5,5,N,Y,F,M,>150k,51
36,female,literal,1,6,6,N,Y,F,<HS,>150k,64
14,female,journey,1,6,6,N,Y,F,<HS,<10k,67
35,male,journey,0,6,4,Y,Y,OO,D,10-25k,69
9,male,literal,0,6,3,N,OO,F,B,75-100k,66
29,male,battle,15,6,6,N,N,OO,B,100-150k,55
40,female,journey,1,5,6,Y,N,OO,<HS,75-100k,53
25,male,journey,6,6,6,N,N,M,OO,OO,43
29,female,journey,0,5,4,N,N,F,A,50-75k,32
1,male,journey,7,6,6,OO,N,F,HS,25-50k,44
42,female,literal,0,6,6,OO,Y,M,A,OO,72
6,female,literal,0,6,6,N,N,F,M,50-75k,36
0,male,literal,11,6,6,N,N,F,B,50-75k,73
47,male,literal,1,6,6,N,N,M,A,25-50k,45
25,female,journey,1,5,5,Y,N,M,P,>150k,27
15,female,journey,3,6,6,Y,Y,M,P,OO,76
43,male,battle,5,5,6,Y,Y,M,A,75-100k,40
49,female,journey,0,6,5,Y,Y,M,M,50-75k,55
36,female,literal,0,6,6,N,N,F,<HS,>150k,30
33,male,battle,3,4,5,N,Y,F,OO,<10k,41
1,female,journey,3,6,6,N,N,M,HS,10-25k,55
0,female,journey,0,6,6,N,N,F,HS,25-50k,44
28,female,journey,5,6,6,N,N,F,D,75-100k,58
17,female,journey,3,5,6,OO,N,M,HS,>150k,68
0,female,journey,2,5,5,N,N,M,B,OO,65
15,female,battle,1,6,5,N,N,F,<HS,50-75k,35
44,female,battle,2,6,6,Y,N,F,D,OO,32
22,male,journey,15,6,5,N,N,F,HS,OO,69
40,male,literal,2,6,5,N,Y,M,<HS,50-75k,71
30,male,battle,8,6,4,N,N,M,P,50-75k,56
0,male,journey,0,3,6,N,Y,F,HS,50-75k,40
50,female,journey,4,6,6,N,OO,F,P,25-50k,52
29,male,journey,1,4,6,N,Y,M,OO,75-100k,42
12,female,literal,0,4,6,N,N,NB,OO,75-100k,67
44,female,literal,12,6,6,Y,N,F,P,<10k,53
35,male,journey,1,6,6,OO,OO,M,D,100-150k,75
0,female,journey,0,5,6,OO,N,M,A,<10k,66
0,female,literal,12,6,6,OO,Y,F,D,OO,68
25,female,literal,3,6,6,Y,N,M,P,>150k,79
19,male,battle,4,6,5,N,Y,M,A,OO,71
0,female,battle,1,6,5,N,N,F,M,OO,68
28,female,literal,2,6,4,Y,N,F,OO,75-100k,62
40,female,battle,1,6,6,N,N,F,OO,OO,76
25,female,literal,8,5,6,OO,N,M,<HS,50-75k,63
32,male,literal,0,6,6,N,Y,OO,P,75-100k,24
15,female,journey,4,6,6,N,OO,M,M,>150k,63
25,female,journey,1,5,3,N,OO,M,D,50-75k,50
0,female,literal,8,6,6,Y,N,F,B,100-150k,32
34,female,battle,2,6,4,OO,N,F,M,10-25k,41
18,male,journey,1,6,5,N,Y,OO,OO,10-25k,55
21,male,journey,0,6,6,N,N,M,M,>150k,41
33,male,literal,7,5,6,N,N,M,OO,>150k,50
50,female,battle,1,6,6,N,N,NB,M,25-50k,21
25,male,battle,12,6,6,Y,N,F,HS,>150k,40
12,male,literal,3,6,6,OO,N,M,A,OO,40
20,male,battle,12,6,4,N,Y,M,<HS,OO,44
25,female,literal,2,6,6,N,N,F,HS,25-50k,53
25,female,battle,0,6,6,N,N,M,M,100-150k,43
17,female,battle,5,6,6,N,N,M,OO,75-100k,76
5,female,battle,1,6,6,N,N,M,B,>150k,58
25,female,journey,3,6,5,OO,N,F,HS,100-150k,51
25,female,journey,5,6,6,N,N,F,HS,100-150k,20
36,female,literal,3,6,6,N,N,M,<HS,OO,73
50,female,literal,0,2,6,N,N,M,A,OO,36
50,female,journey,36,6,6,Y,N,F,P,100-150k,51
2,male,literal,0,6,6,OO,N,F,<HS,10-25k,31
6,male,battle,6,6,6,N,N,F,HS,25-50k,39
6,male,journey,4,5,6,N,Y,OO,HS,OO,21
6,female,literal,7,6,4,N,N,F,B,25-50k,34
28,female,battle,6,6,6,OO,N,F,P,OO,54
12,male,literal,0,5,5,N,N,F,B,<10k,19
44,male,journey,13,5,6,Y,Y,M,OO,10-25k,75
25,female,literal,0,5,6,N,Y,M,P,75-100k,39
