RAND,ppt,notes,journey,battle,gofundme_mention,sympathy,sentiment,on-topic,intensifiers,description
0.091481022,87swbk6cknu3hdbmapv5,healthcare comments,0,0,,1,-1,1,,Jennifer is in a dire situation as it is to be expected with anyone that is diagnosed with cancer and needs to get treatment in a country such as the united states. Because the government decided that healthcare was a private business worthy of profiting off the sick Jennifer will have to worry about paying her medical bills for the rest of her life. Her friend has made a fundraiser to help pay for the bills. 
0.9976003,qfuprcslsqhvsj8m0204,bot,0,0,,0,0,0,,"The success of our fundraiser is a direct result of great community and statewide commitment and participation. We couldn't do this without the generous support of our Corporate, Lane and Prize sponsors and all the bowlers who gathered generous donations for our great cause."
0.083280692,8wvbwfbnuwpumphgu940,energy is up,0,2,,1,0,1,,"After undergoing complicated thyroid surgery, Jennifer was diagnosed  with Stage 2 Lymphoma. The doctors say she need many treatments of chemotherapy and possibly radiation as well.  She started the fight with chemotherapy the week after her surgery and she will receive every 21 days for the next 3-4 months. Jennifer had a few days of nausea and fatigue following the first battle through chemo, buy her energy is back up. "
0.333142574,xz0dwsq3erfumzdk6g3u,hefty bill,0,0,,1,-1,1,,Jason has been diagnosed with stage 2 lymphoma and will need 3 to 4 months of chemo and radiation to treat the disease. He will have a hefty bill to pay after it is all said and done.
0.154948789,6yv9fs9rw94r7q9eph9c,,0,0,,0,0,1,,"She has been undergoing treatment for lymphoma. She has many visits to the hospital, chemo and medication coming up and needs help with the expenses."
0.891302376,lzpwuq5kjk1clpq2lt16,"if people help out, friends can help",0,0,,1,1,1,,"Jason is struggling with cancer and needs money to get through all his treatments.  He is often sick after them, but at least his friend can help with the payment part of it if people help out. "
0.291454858,om5tgdnye66bl2op1gn9,,0,0,,0,0,0,,Is  so bad of situation
0.298958563,2jzymuz60avswfz729e6,,1,2,,1,1,1,,"Jason has had a long battle with cancer. His strength and perseverance have helped him tremendously throughout his battle, and his best friend is looking to help him with the long road ahead. "
0.734574214,vqbjja5qhfyvdcvakwur,Personal story,1,0,,1,-1,1,,Chemo is a real tough sentence for people and I know that for a fact having watched my wife go through it last year. Jennifer has a tough road ahead of her having had thyroid surgery and now Stage II Lymphoma and I wish the very best.
0.171087763,7srebzx2pfdv2yx03v05,"""dealing with"" metaphor",0,0,,0,-1,1,,She is dealing with lymphoma and the side effects of treatment.
0.016323767,tdv6duh9sarj5s60pwm3,,0,2,,1,-1,1,,Jennifer has found out that she has a bad thyroid disease. She is a real fighter and wants to beat it.
0.585096158,z5brs0mevdumpjuevm8v,"""rough"", chance at recovery, heartfelt campaign",0,0,,1,1,1,,"Jennifer is going through a rough chemo treatment, and has a good chance at recovery. The funding campaign is to help her with all the expenses that will crop up after her treatment. her best friend is starting the campaign and it all looks pretty heartfelt. "
0.233527993,kt20270j5t571c8z3xn9,"""terrible disease""",0,0,,1,-1,1,,she has stage 2lymphoma .she has to get many treatments of chemo and maybe even radiation treatments .this is such a terrible disease and process to go thru please help
0.451022347,cccex8n929kjh1y8mzre,,0,0,,0,0,1,,thyroid surgery men.
0.166168867,tn0jgbbqmhghfw196c61,"youth, multiple issues",1,0,,1,-1,1,,"She's gone through a lot, first an issue with her thyroid and then to find out she has cancer. She's young and has her whole life ahead of her"
0.002252806,laol6h7mwr9vo7ck33pa,"bot, nonnative",0,0,,0,0,0,,I DESCRIBE JENNIFER'S SITUATION TO A FRIEND TO VERY GLAD TO AND EFFICIENTLY.
0.292639165,xp86x9vm339usdvxlfza,empathy,0,0,,1,,1,,She is having a rough go of it. She has stage two throat cancer after thyroid surgery. I feel for her and hopefully this money helps to cover any expenses that may arise due to these issues.
0.641108574,x7shu9mtsmpkepgvw8x0,personality,0,0,,0,0,0,,she is very calm but this situation her never expect 
0.273035046,wffsbmhstf2k0ttl0g62,,0,0,,0,0,0,,verycritical sutvaion in to the girl but every day treat ment in the hospital
0.300314398,t3lu8b4ftr1by3lpap4e,,0,0,,0,,1,,Jennifer underwent a thyroid surgery and was later diagnosed with Stage II Lymphoma. She will need many chemotherapy treatments and probably local radiation.
0.032454474,xyofqyp1nh9q97v9wfyr,,1,0,,1,,1,,Jason had surgery for thyroid issues and then was diagnosed with lymphoma. He has to go through chemotherapy and possibly local radiation. He is doing well for the most part.
0.979387734,lkbdt5nzgzmkhurkkwye,"donation, stress, religion, ""facing""",0,1,,1,,1,,"Jason had thyroid surgery and it was discovered that he has lymphoma.  He is now facing chemo every 21 days, possible radiation and all the problems that come with cancer treatment.  I have chosen to donate $50.00 because he should not have to worry about money during this extremely difficult time.  Stress can have a negative influence on a cancer battle.  I pray for Jason and know he can get through this!!"
0.255646046,zphy1s3uahrw79lo6mgb,,0,0,,1,,1,,Jennifer has developed Stage II Lymphoma. Her friend is raising money to help her pay for the expensive treatment.
0.461875316,0w96jzbx6rdxxs1ennv1,"very sick, intensifier",0,0,,1,,1,,Jennifer is a very sick woman. She needs help with money so that getting treatment isn't an insane financial concern. 
0.045944951,4rd5bhz5mbns2md570oc,intensifier,0,1,,1,,1,,I would say that she is going through a really rough time fighting lymphoma. I would say that she needs donations to help cover her treatment and expenses in general during this tough time.
0.513560207,yy5wq00249pxqchykw10,,0,0,,0,0,0,,"We should help for her and she is good thinking girl                                                                         
                                            "
0.384362627,ahc5yd008ex82nru2km3,,0,1,,0,,1,,"Jason is undergoing treatment for cancer. His friend thinks that there will be a lot of extra expenses that come with fighting the disease, so he wants to raise money to help."
0.419296023,yzd7ffgsxonycgctlwga,,0,2,,1,,1,,He is a great friend and he has a very big fight to battle. He has to do chemotherapy consistently and he was to do local visitations and then he has to do local radiation. 
0.775920974,yo8hsz0wgqzm509mght8,,2,0,,1,,1,,"Jason is going through a very tough time in his life and needs just a little bit of help to push past this experience. Anything you can do to help would be greatly appreciated, thank you."
0.616014635,6h4czt8gx5la9zm1fkdk,,0,0,,0,0,0,,A charity that is raising money
0.494354844,1dj947x3sc3yy2wuvvya,Personal story,1,0,,1,,1,,"Jennifer is going to undergo one of the most life altering processes possible.  When my wife was first diagnosed, she was told by a survivor that if the cure doesnt kill you, the process will be incredibly positive for you.  We didnt think this was possible but it is totally true.  Cancer and its treatment/recovery process will help a person to quickly decide how they want to spend their very precious time.  People and things that cause stress, anxiety, anger, or disappontment are quickly left behind.  Love, happiness, support, kindness - people and places and things that provide this are truly what life is about and you prioritize these over everything else.  The treatment is horrible, but you see the kindness in so many people that it helps you with strength you didnt know you had.  Minute by minute, you make it through to the end."
0.792109446,mxz5ekm89vlybuhn45mf,,0,0,,0,,1,,Jennifer's need financial assistance for her condition. Any amount of donation is welcome.
0.285668995,pbja5q8hatb1x8pznvb4,,0,1,,0,,1,,"A woman discovered she had cancer while undergoing treatment for another disorder, and now needs financial assistance to battle cancer."
0.113369358,tc64drmbb8x3uyr99lab,,0,0,,0,,1,,Jason is looking for donations to help pay for lymphoma treatment. He needs money to pay for chemo and other expenses. 
0.368116495,ja3fc6jnmpma4hm93w63,,0,0,,0,,1,,He has cancer and has to undergo chemotherapy and radiation treatments.  He is recently recovering from thyroid surgery so he needs a little extra help.
0.486256596,g6jnvll7m4fxlu5nb2my,,0,0,,1,,1,,Jason has stage 2 lymphoma. something that makes his life very difficult for breathing and movements
0.354811448,pwge07onacepsxu8ba4j,,2,0,,1,,1,,he has cancer and is undergoing lengthy treatment and has a long road ahead
0.081083532,0my60drm8ju1mw1c6aza,,0,0,,0,0,0,,His situation his critical and needs donation.
0.076475959,kghh5kbbucbp2mndl166,metaphors,0,0,,1,,1,,"Jason is a really good guy who's caught a really bad break. With the campaign, you can help Jason get back to living a normal, healthy life. "
0.95069929,cd7f7jhhw8ktzobf5fg2,,0,0,,0,,1,,Jason was diagnosed with cancer and his friend is raising money to help cover the cost of treatment.
0.501365123,3o12tk6lf73ykhpwop0o,,0,0,,0,0,0,,same enjoy
0.0467186,3wbjnddj9dsfg8sk3q3d,,0,0,,,,,,
0.188428264,buhomawfdyuurlb0nnre,,0,0,,0,,1,,Jennifer was diagnosed with Lymphoma after a complicated thyroid surgery and will need chemotherapy and possibly radiation. She will have a lot of upcoming expenses and this is a crowdfunding campaign to help with them.
0.260738667,24g8fky5nr8myjgjv1au,,0,0,,0,,1,,Jason has cancer. He is currently undergoing treatments for it. A campaign was started to raise money for Jason's medical expenses.
0.849728777,5ca7r126ycutz4435shn,,0,0,,0,,1,,"Jason has stage II lymphoma, which was found after a thyroid surgery. He will be undergoing 3-4 months of chemotherapy, and possibly need radiation as well.  "
0.294005054,813b9pqvecck0l7qz5ea,,0,0,,,,,,
0.986507914,dy96zubatwjfjnoafvq7,,0,0,,0,,1,,Jennifer underwent surgery and now has lymphoma. She need chemo and radiation. 
0.574000181,o963w232hcuton7o0wwe,,0,0,,0,,1,,Jason had a thyroid procedure and afterwards he was diagnosed with cancer. He just started chemotherapy and he's going to need some funds to pay for all of his treatments. 
0.861653737,yrymka12ud48yor18fgs,,0,0,,0,,1,,Jennifer went through thyroid surgery and it was discovered that she had cancer.  In order to help with all of the expenses that go with the treatment of cancer her friend has started a fund raising campaign.
0.380804184,165hlrnwg8zjg0kkd326,,0,0,,0,,1,,Jennifer need to take thyroid surgery. so we need do donate some amount to her.
0.941347861,xzutvogrmy61h1uhmsms,personality,0,0,,1,,1,,Jennifer is someone who is admired by the people around her because of her positive outlook and strength. She unfortunately has been diagnosed with lymphoma and has to receive a lot of treatment for it that can be costly.
0.723314674,vzrg2pv9yx73wdy1vrjf,,2,0,,1,,1,,She is going through a rough time just by being sick. Her expenses will be another rough time to deal with. Health is important so hopefully this will help her a little with expenses.
0.268405173,7hmwgza7hkmrn7zhq2n6,bot,0,0,,0,0,0,,"Her last smile to me wasn't a sunset. It was an eclipse, the last eclipse, noon dying away to darkness where there would be no dawn. My Uber driver looked like a deflating airbag and sounded like talk radio on repeat."
0.256944629,wg0gstttpx8chpre3u4y,weird quotes,1,0,,0,,1,,"Jason has lymphoma after a thyroid problem.  He has to go through chemo and targeted radiation.  He has nausea a lot on this ""journey"" so far"
0.664245474,su4l0tfwd1bmt97epd8v,natural disaster metaphor,0,0,,1,,1,,He has been stricken with cancer and needs as much support as can be provided.
0.663016928,g45swcjf8fdr5g3o486h,,0,1,,0,,1,,He was diagnosed with lymphoma and needs donations to undergo treatment so he can beat the disease
0.388244278,aqv3l25op1er93152tl1,,0,0,,0,0,0,,excellent
0.241461974,wl17338rdug8ga22xeo6,,0,0,,0,0,0,,good
0.826342724,50s8fq827n3j3xb2pge1,,2,0,,1,,1,,Jennifer has a very tough road ahead with cancer. She will need some help to get through this.
0.845161804,v8aauzyac07yh0dw57j5,,1,0,,1,,1,,i am raising to help pay for the many expenses that will come along during the lengthy road ahead.
0.190678775,99bujlc9qce15w9kkq3w,,0,1,,1,,1,,Jason is suffering from cancer and really could use some money to help with increased costs over the years. He is a great father and person. Let's help him through his battle.
0.13707419,naqlakmus7gzy4y962ge,bot,0,0,,0,0,0,,"Bragging to friends led to his arrest. There are no words adequate to describe what this kind of traumatic loss does to a victims family.  I was in Los Angeles at my friend Jennifer's, enjoying a poolside rest. The first sentence came to me, and I ran into the pool house to get a piece of paper and a pen. When Jennifer was permitted to attend a sleepover at a friend's house, Bich ... up in the courthouse while describing the sound of her parents being shot.
"
0.032214026,fzbdpsr2n7o8q1pgk8h2,bot,0,0,,0,0,0,, A compound sentence joins two or more sentences that have related 
0.203278578,hzp8n2szsjvw3j3pz6dd,,0,0,,0,0,0,,nine
0.840539872,x3elx8ryobdby1qskvle,skeptical of crowdfunding,0,0,,0,,1,,"I would say that there is some girl with cancer. However, her friend is starting a campaign to raise money for chemo. I don't know if it's legit since I've heard all sorts of things about people who scam others through this so I will donate a minimal amount and maybe ask for verification."
0.275437549,9qyfkvaqwdenrguloyck,,0,0,,0,,1,,Jennifer has cancer and she needs money to help pay for her medical bills. Her friend is raising money to help her.
0.666522821,fyrxw8fvway3odnpx7k7,,1,2,,1,,1,,Jennifer is a woman who has just recently started out on her journey against fighting cancer. Everyday in her future will be a mental and physical fight.
0.941332252,1ta7ybxtkrz9ooc76cvc,"""overcome"" battle?",0,0,,1,,1,,"JENNIFER HAS AFFECTED BY CANCER. AND SHE NEEDS TO GO FOR TREATMENT CHEMO,AND SHE NEEDS MORE MONEY 
I LIKE TO OFFER MONEY AND I PLEASE YOU HELP HER TO OVERCOME "
0.957348121,0ajaoxsy3347gmp5cazv,,0,1,,1,,1,,Jason fights with cancer and there is no one to help with him fund.So that it's appropriate to help him in that situation.
0.642832412,va5md1g5j1cmw5pb8v78,,0,0,,0,0,0,,Jennifer is very supportive. She has the best interests of her friend in her heart.
0.860810899,34tqgyvfj9n2cb0y0jok,,0,0,,1,,1,,He had been undergone a thyroid surgery and now he has been suffering from Lymphoma. He needs treatment for 21 days at least for 2 to 3 months
0.084392887,sum9001yhghvel368vlp,,3,0,,1,,1,,Jennifer is a strong woman who has to go down a very difficult road. She has been brave and is willing to complete her journey in hopes of feeling strong and much better than when sge started her journey.
0.039438524,c4hw391phy51jro89k0j,,0,0,,0,,1,,"Jennifer was diagnosed with Stage II Lymphoma. She is undergoing treatment currently, and her best friend is raising money to try and help cover the costs of treatment, hospital bills, etc. "
0.245221912,6rfmwmzr79ozthsvraug,,0,0,,0,,1,,A young woman has Stage II Lymphoma.  In order to of off set the costs a crowd funding account has been created.
0.433408455,484fpe4p96clmbe7n0t8,"""ahead"" journey?",1,0,,0,,1,,"Jennifer has Lymphoma, and a friend of hers has started this campaign to raise money for the costs ahead. She is going through chemotherapy and the like. "
0.036220839,z0yv2rz4qvovsqodqeum,,0,0,,,,,,
0.843116199,qkfy72l6ejvbop9ancku,,0,0,,1,,1,,Jason has a heart of gold and is suffering from cancer.  He will be undergoing chemotherapy which will be very hard for him.   
0.246800492,jzlusqash832fk2ex4k1,,0,0,,0,,1,,JAson has stage 2 lyphoma and his friend is rasing money to help him.
0.670128133,zb21gmjo80u9ek8rd8nw,,0,0,,0,,1,,Jason is suffering from cancer. He needs money for treatment.
0.333969346,x2qk2ah2h3e2r7qylde5,,0,0,,0,,1,,"Jason is suffering from lymphoma, a type of cancer. He will be getting treatments every two weeks and will need help with affording these treatments. "
0.994074351,jqcf9p69pkyu7gskhtyr,,0,0,,0,,1,,Jason has lymphoma. He needs money for surgery.
0.958013814,bvrgr53v0g5nlqz0xb6g,"""rough spot""",1,1,,1,,1,,"This girl was going through a thyroid surgery when they discovered that she had stage 2 lymphoma. She now has to go through chemotherapy and local radiation every 21 days for a couple months. She's in a rough spot and wants to keep fighting, so her friend is raising money to help out with financial costs."
0.924964645,sp9byj7fyme5tt5om2ug,,1,0,,1,,1,,"She's someone who was diagnosed with cancer and is undergoing chemotherapy treatments that will continue for 3-4 months. Although she experienced nausea and fatigue after the first treatment, she's feeling better and stronger at this point, but has a long road ahead of her."
0.813660728,kg9hm5p8q9e27x6o15y4,"human being like us, homophily, ""get through this""",1,0,,1,,1,,Jason is also a human being like us and he deserve to get some help in this situation like to get medicine and some hospital thing. I Hope he could get some kind of good help through this.
0.40115576,71h2qmqd9rygbn0t61lz,,0,0,,1,,1,,He suffering Thyrod type decease. I hopefully provide my help to collection donation for his treatment with friends and family.
0.318331419,6dt1dlktrcgsb68yeyko,,0,0,,0,0,0,,This friendship has very interesting and honesty
0.042830452,fdf356gfqc40gbbuavtc,,0,1,,0,,1,,Jennifer has cancer and her friend is raising money to help with all the expenses. She says she is really wants to beat it
0.823343112,pu1h6ad6g7uf0e9zdkx7,,,,,,,,,Jennifer has to undergo chemo for the next 3 to 4 months. She needs money to pay for the many healthcare / other expenses that will inevitably come along with treatment. 
0.56551852,dd56gxmu99xtyzvyr5uo,,,,,,,,,Jennifer has lymphoma and every day is a battle. Any size donation will help her out.
0.118768966,yb38pqck3o2dfrmjgga7,,,,,,,,,He has lymphoma and would be needing chemo treatment every 21 days for 3 to 4 months until he gets better and would need help with funds to cover expenses during this time.
0.408220859,o6uglp1uudjtnp4xwvj2,,,,,,,,,no
0.978630512,7ck8f7cax87qqlngc5ho,,,,,,,,,He is suffering from lymphoma. He needs help financially.
0.972151005,v9zszls9xu7rrf947noj,,,,,,,,,The situation is very bad.  So I will donate 25 dolor will be help for us
0.061481157,peas5dkb2nclt941tkwk,,,,,,,,,There is someone online that I do not know personally or even second hand who claims to have cancer and is supposedly the recipient of a go fund me type account. Only people who personally know this person ( and if she actually has cancer)would donate to her cause.
0.148061194,3edb83c6fphda4h38mu8,,,,,,,,,this will be a situation
0.788533461,nxudbn1f3p600fskn90n,,,,,,,,,Jason has a lot of medical problems and needs assistance. He needs some donations to be able to maintain his care and get further assistance.
0.096991698,4o8mqh25kvo2quwpob31,,,,,,,,,"Jason is a kind and determined person who is going through a tough medical situation. He had a surgery on his thyroid and has since developed Lymphoma Stage II. He is undergoing chemotherapy treatment and also local radiation. This will continue for a period of a couple months. Jason knows this will be a long and difficult road, but he is ready to take it on and get to the recovery stage."
0.947825714,adjpnwrv8rmlgrowbb9s,,,,,,,,,Jennifer has been diagnosed with Lymphoma. Stage III. She will be doing a lot of procedures and chemo therapy. She will have a lot of really hard days ahead. 
0.996299839,njm19z283bzdfuoovwxu,,,,,,,,,good
0.852600741,r0qs0gupgn8mmexp7eua,,,,,,,,,
0.043191685,lkx7oaqa1r158m5tlh29,,,,,,,,,Jason has cancer and is needing donations
0.801781383,kqegytjcjnewx1j7nl9z,,,,,,,,,"She has lymphoma, which is very serious and potentially fatal. It came as a result of treatment for another illness, so is particularly a hard blow to take."
0.868999748,rn4k9hs2fzz7wfcowz9h,,,,,,,,,I will like first tell a friend about the the Jennifer's situation and when am able to explain the situation to a friend he will definitely help in terms of donation 
0.839331853,knn4djyw61vsxkg5pn1b,,,,,,,,,she has a tough road ahead with chemo and other treatments and has alredy undergone surgery.  she faces big medical bills. 
0.897300089,9qykxumsz41js60bwloh,,,,,,,,,That he suffering from stage 2 cancer.  He's struggling through the recovery process and needs some assistance.
0.248040924,kl8hcoru9vsay0g6mx9y,,,,,,,,,Jenifer friend is helpful and caring.
0.696000065,emlnu7jkfghqtadd4j7h,,,,,,,,,He is really bad off. He went in for thyroid surgery and found out he has Lymphoma. He has to get all kinds of radiation and chemo now. 
0.598244972,k502hywdlyq9xsd00evc,,,,,,,,,Jason is in a severe situation. He needs treatment in the rest of his life. He is very poor.
0.809332866,15lz7ot4cl4kmgzc8jes,,,,,,,,,Jennifer has been recently diagnosed with lymphoma. She is starting her treatment and money is being raised to help with expenses.   
0.600124944,n699yazhjyzbgmxymux4,,,,,,,,,"On Monday, actress Courteney Cox, who played Monica on the beloved sitcom, and husband David Arquette announced that they had separated.
"
0.800928056,hmbev5z9zrfvn8hqh9ov,,,,,,,,,"Jennifer has stage 2 Lymphoma. She will receive a donation equal to 1 of 5000 person's decision whether to donate or keep some or all of a notional $50. If this person's health information is real to any degree, giving it here seems to ba a HIPAA violation."
0.16453759,h0752ymh3lxs01gnh08r,,,,,,,,,She has a Lymphoma disease and doctors say she need many treatments.
0.711063368,8dtlqrfxrcbv2557kx6z,,,,,,,,,"Jason is a nice guy that has Lymphoma and has many rounds of therapy ahead of him.  He is kind and knows that he has many battles to fight and intends to win them, he is determined to recover."
0.388624126,bvumtgf0jssq1s6sdklm,,,,,,,,,"After being diagnosed with Stage 2 Lymphoma, Jennifer is going through a though situation due to the treatments and going through recovery."
0.24492534,po1xrrx6x6opd6hy82d1,,,,,,,,,Jennifer is suffering from lymphoma after having her thyroid removed. She needs help with expenses that will come up during her long road to recovery and is asking for donations.
0.34560883,leql5gqgzjn4p807ehvt,,,,,,,,,This young guy is loved by his friends and is doing his best to beat thyroid cancer. He's undergoing chemo and needs financial help with expenses right now.
0.024550155,d7y3anol11bwoura92op,,,,,,,,,"She is very motivated and a great
Worker "
0.962252145,83ml8yt372c9k4csze2a,,,,,,,,,"my best friend jason's know that he has a hear of gold.but after undergoing a complicated thyroid surgey,jason was diagonased with stage 2 lympohoma."
0.174533822,l28y1su64rrkxr9fjpes,,,,,,,,,He is sick and needs help.
0.658400978,mqgxvvhxsne9xl2886u9,,,,,,,,,she is suffering from cancer so you please help her
0.624030997,cofqsz3fg33281seq5cb,,,,,,,,,"She has lymphoma now. She needs chemo every 21 days, and needs help with expenses."
0.78299534,19yqxekl0ay6e3r5r8jv,,,,,,,,,"Jennifer has lymphoma. She is facing a long path to recovery, and needs financial support."
0.067528224,klptvzepam38wyyya64y,,,,,,,,,"Jason, my friend suffering with the stage II Lymphoma and also he struggling with his following days with these Lymphoma.He is my best friend, so I raising money to help him."
0.978442541,ndm3lxh8kwm73ho1lfe0,,,,,,,,,Jennifer is a really nice person but unfortunately she has been diagnosed with lymphoma. Lymphoma is a type of cancer. Treatment is possible but painful and difficult. 
0.554043756,fgcevd9eg68xd5gw3bpm,,,,,,,,,He is suffering from lymphoma.  He needs money for his expenses.  
0.940934786,sp7tmy7gcxax1vz6zkd3,,,,,,,,,"Jason was diagnosed with lymphoma, and is undergoing chemotherapy and some local radiation. He knows this will be difficult, but he is ready to wage war on this disease."
0.924950304,07szstfo0gpcp8sfzj72,,,,,,,,,"Jennifer has stage 2 lymphoma, and she is undergoing treatments for the near future."
0.780150297,rtbr4xj42jv6ekmnyobo,,,,,,,,,"The Bowl for Jason's Friends Foundation annual fundraiser is a fun community event involving nearly 1000 bowlers and even more donors and sponsors at El Mark-O Lanes in Casper, Wyoming."
0.623890441,klvmbqg5j46ncermwrfm,,,,,,,,,
0.678008255,4a7frdzaumh9acqpcrq0,,,,,,,,,That she has a very rough life but she also tries to make the best out of her situation. She has to go through a lot of treatments but all in all she is a great person.
0.130513857,n2jazvc40v5wse2d20o8,,,,,,,,,He is a young sick guy who is fighting hard to get stronger and be positive. He has good friends who are trying to help him get the financial support he needs. 
0.706900747,n0toh0e66smp3tsrecv6,,,,,,,,,"Hey has just been diagnosed with cancer, and is going to be undergoing expensive treatment. The fundraiser is to help with these payments. "
0.409675957,e9vzzlxmersyv183zrx0,,,,,,,,,"Jennifer is currently battling cancer. She is struggling to pay medical bills, so her friend is raising money to help. "
0.783953135,03ubbkkt9vpbhvozr5s1,,,,,,,,,A man named Jason is suffering from stage two lymphoma. He needs help in fighting this horrible disease.
0.89568295,77y8dxq93ay7nh4ynqsh,,,,,,,,,A gentleman who is undergoing chemotherapy for lymphoma. A friend is raising funds for him.
0.398891294,l3q8nv6r1yls65u22r1n,,,,,,,,,"Jennifer is a cancer patient with stage 2 lymphoma. She is at the beginning stages of treatment and she realizes what the future holds in terms of treatment and having to fight through the next upcoming months. Although she is going to be fighting this battle on her own, the support of others whether it be friends and family or random people will only help and possibly even give strong sense of community.  "
0.66855185,o1hg4dl6gfat5ze55ez9,,,,,,,,,"It's a difficult situation to be in.  It's tragic, because she seems like a good-hearted person."
0.397010048,e2xsznc3ua0h2svy5gt9,,,,,,,,,"She is undergoing lymphoma which means she has to do chemo every 21 days.  She feels tired and need help with the costs.  I don't know much about her such as her age or what she does for a living or how she has a heart of gold, but people undergoing chemo need some help and support."
0.26585272,ulu7awghjoq9awaf7c8x,,,,,,,,,"Jennifer situation baffles me a lot she had to be in hospital every time because she had issue with her thyroid if there is any help you could render it doesn't have to be money prayer is acceptable too i hope she gets better soon ,such nice person had to pass through pain and much suffering "
0.288584715,53f12wawjebtfc0arx9o,,,,,,,,,Jason underwent a thyroid procedure and ended up being diagnosed with Stage II lymphoma. His best friend has started a fundraiser to raise money for him during his chemotherapy
0.576482152,rx1g81bvsq6mwn59ydpq,,,,,,,,,"He is going through a lot of battle. He has a lot of fighting to do, and needs all the help he can get"
0.730367408,b84m4dbm4on4stndp2b4,,,,,,,,,Jason's situation is serious.  Treating this condition is a trying and exhausting experience.  His health is in jeopardy.  Jason's determination and his faith will be instrumental in overcoming this ordeal.  He needs everyone's support to reach his goal of regaining his health and leading a normal life.
0.634123301,xvlrl4q90ajxrzq67ady,,,,,,,,,"A nice woman is suffering from Lymphoma and her friend organized a donation she needs for chemotherapy. She is a hardworking, friendly woman who really needs help."
0.611468739,ks6u2vxezjo2q7gaktoj,,,,,,,,,She is fighting a battle with cancer.  She like many need help.
0.808176902,oke0py1r3f3d1gcug1b4,,,,,,,,,"Jennifer was diagnosed with lymphoma after having thyroid surgery.  Now she's undergoing chemo treatments, which will continue over the next three or four months.  She may have to have radiation treatments as well.  It sounds like she's doing the best she can to maintain a positive attitude and, fortunately for her, she has very supportive friends.  "
0.191731849,we5qfrcljhaf2vhpbfar,,,,,,,,,"Jason had a thyroid surgery, and then they discovered he has Stage 2 Lymphoma. They are raising money to help pay for his treatments, hospital visits, and medications. "
0.857874021,f79d8hswodohm3u18pxs,,,,,,,,,He has cancer and is going through chemo right now and is trying to feel better as he is going through this right now 
0.63131269,1fa0dxj1fw5u77xmmkm8,,,,,,,,,She had surgery on her thyroid but now has also developed cancer. She is in the middle of the battle with it and needs help to pay for her medical treatment
0.24301131,nwd6y2jvv1nc6r9vyymn,,,,,,,,,She has cancer and is receiving treatment. Her friend is raising money to help cover medical expenses. 
0.487170141,hlhzyh1mm461em70ltf4,,,,,,,,,Jason has stage II lymphoma. He will need many treatments of chemotherapy and possibly radiation as well. He will be receving treatments every 21 days for the next 3 or 4 months.
0.202355902,22v3jnxa0p3aan3n2mxs,,,,,,,,,He has developed Lymphoma. He is taking chemo treatments on a regular basis. 
0.479158433,xh9w0gtxc0nwyvuw8dxe,,,,,,,,,Jason is fighting cancer and is a fighter because of it. He has his friends and his family to support him through this fight.
0.313470896,embfwl191th8d6xavy6u,,,,,,,,,She has cancer and is wanting money to pay for bills.
