ppt,journey,battle,description
6olwp9wkgswncalm31w5,1,0,Jason has gone through health struggles before and now is facing another one after being diagnosed with lymphoma. He is asking for financial support to help with dealing with the cancer and treatment.
76h75bhjwrp3qh1xqry6,1,1,"Jason has Type 2 Lymphoma. He's fighting really hard to overcome this disease. Right now, Jason is getting ready to start chemotherapy, after finishing radiation treatments. Jason is a strong person, but has his ups and downs. Everyone is praying that Jason will beat Lymphoma."
fn1dz9p0fsyx8py6aezm,0,0,Jason has a heart of gold but has been diagnosed with cancer. He will need to undergo chemo every 3 weeks for about 3-4 months. He will have many expenses.
ttdk4a34hx7lmcswolg5,0,1,"Jason is fighting cancer and needs all the help he can get, so let's help him out."
bnlabjm4n5olrhwwl3l1,0,0,A girl with lymphoma who has been diagnosed and is beginning her chemotherapy treatment. She experienced nausea and fatigue the first few days now she’s feeling better.
jf7rorsyanxvq6q9el3q,1,3,"Jason is in for a long battle with lymphoma, but for now he is keeping the faith and is ready to battle his cancer until he wins. He will have to have chemotherapy and possibly radiation as well, but he's ready to fight."
to5wlh16wh66obopsegx,1,0,She just went through thyroid treatments and now she has stage 2 lymphoma. We are hoping for the best as she goes through chemo and recovers.
28faxo83onk7cjh08qo9,0,0,Jennifer is dealing with some serious health issues
drdlen4o9ps1tc0hvkb9,0,0,He has stage two lymphoma. His friend is raising money for his medical bills.
gvjltd3pzt9tpmb6316s,0,1,"He has been a fighter, and is going through cancer. After the treatments, he is feeling rough and nauseous. We are just trying to help a fellow friend out!"
49l417gmz10pmt5aelam,1,1,undergoing chemotherapy for cancer.
lppwl4zjyl1e4kyt7n4d,0,2,I'd say that Jennifer is in bad shape and needs all the help she can get in order to battle her life threatening illness till she beats it.
xrrn5zrnbnlojxjx7res,0,1,"She is in a confused state at the moment because she's between life and death.
Her situation is in God's hands."
ftd4adb3gbxj13sbt9h8,0,0,Jason has lymphoma and will need to receive chemotherapy every 21 days which will leave him extremely I'll as he tries to fight this disease. He needs donations to cover medical expenses and everyday living.
71vs1ufy45b58x1rg2d4,0,0,she is going through a serious disease
uce0gzw3r5xc68mff6ek,0,0,i will describe jennifer's situation in a very polite manner and make to understand in a very simple manner
2rnfh6u33ccguo0bjxc7,0,0,Jennifer is suffering from lymphoma and one of her close friends started a campaign to raise money to help pay for all the costs as she recovers.
4gkspnkgctezyt4mh5y2,0,0,Jason has lymphoma and is seriously ill. He needs to go for regular treatment and is struggling with the costs involved.
7badha3zr8r8m4gvexyz,0,0,"He have a heart of gold, and he's having chemotherapy after a thyroid surgery. He has just discover a lymphoma. After his first chemotherapy he doesn't felt very well."
c4zj3j4kne892g87weet,1,1,"Jennifer has a very serious disease she is battling. It will require a lot of chemo treatments and a very long, hard road to recovery."
9zek2qqboptsb5aykj6y,0,0,"Jason has cancer and is seeking money for his own personal expenses. I gave him $%, the $45 left will be donated to Save The Children. An effective altruism chairity that does the most good for the most amount of people."
gozd5xr2xoqcl9w09vfh,0,0,Jennifer is struggling with Stage II Lymphoma and now she under Chemotherapy treatment.. She is very bold girl and she should live in this world to explore  a lot..requesting you also to donate for her
71kafbcol7zoj814uafp,0,0,"Jason had a Thryroid surgery and discovered that he had stage 2 lymphoma. Unable to pay for treatments, his friend started a campaign to raise money and help Jason pay for things like chemotherapy."
2rk1hsw3ckq1fbkhrb47,1,0,"Jennifer will still  need chemotherapy after surgery. The chemos is expensive, her friend is asking for donations. Jennifer does not know how long she has to live so any donation to ease her burden of this disease will help. Life is too short give what you can."
5yx4c04mkyoa1lgxy1zo,0,0,This guy went in for thyroid surgery and then was diagnosed with cancer. He needs help paying for expenses related to chemotherapy and just living. Help him out with a little donation.
emq5y83tajut4nlkmvqa,1,0,"Jason's friend has stage 4 lymphoma and needs financial assistance. He is going through treatment and is experiencing some side effects. To alleviate any stress due to the financial burden of him not working and medical costs, the family started a donation fund."
4uw8uaycydz6p6th2rj3,1,0,"Jennifer has lymphoma, which is a form of cancer, and is now undergoing some difficult treatments to cure it."
1bdtqfdc0lq51y40rseg,0,1,He has been diagnosed with cancer. Any money raised would help his family get through this tought time as he fights cancer.
wtqpg56hy6s1fn0kxerl,0,0,her situation is pretty hard to give lot of money to all
j921dlp759p2as3hkrmr,0,1,"Jason is currently battling cancer and receiving treatment. He seems to have a positive outlook, but will need help."
btd9xt5k52dgkt5jsgyf,0,0,Because their conservation it is about like that only ever as shown where are used to as normally both are having like friends situations only so that only ever are asked to that they where ever are used by the generally.
y6jqvsxgcwd36vp9907o,0,0,Jason is someone with stage two cancer. His friend is looking to raise money on his behave.
3vms3t5vdznsf5d63sqd,0,1,Extremely unfortunate. No one having cancer should need to fight the disease while worry about how to pay for treatment.
0gyaoz03jplr7wux4owk,0,0,I would describe his situation as sad and unforunate. It's a sad situation to be in that is unfair and I do hope he gets help.
22u7efkj22ckqanj7kap,1,0,"Jennifer's situation is pretty dire, and it seems that she does not have much time left. She will have to undergo several rounds of chemotherapy and will have mounting medical bills. She needs all the help she can get."
xn4uzj252hslfecb4w7e,0,0,He is raising money for treatment of Jennifer's lymphoma discovered after her thyroid surgery. He is her best friend and is just trying to help her out.
qokfqzvg6guqd5dxhfs7,0,0,Jennifer has been diagnosed with lymphoma and needs chemotherapy treatments for 21 days.
m4weqy4ue0hb78e30bfu,0,0,"Jennifer's condition is very serious, she needs your help to pay for her hospital bills the form of cancer that Jennifer has will keep her in the hospital for a lon time."
hu8ltup3he0mmx45fhv3,0,0,"Be there for a friend by being observant, asking questions, listening, responding and get help for your friend. Never keep a friends suicidal thoughts to yourself."
kab2pbe5fe4lp1k3eo8y,0,0,Jason has lymphoma and is doing better with chemo. Sadly  he still has more expenses he needs funds for.
aaegyj32j23lvwngfo4n,0,0,I feel some what better and adjust the situation and managed her friend
katsd8awcgp1bfsfgf2z,0,0,he has recently had lymphoma and now needs financial assistance. his friend says he is a genuine guy
4bclw46xf8hlfbzh8qjq,0,0,Jennifer needs to recover after chemo treatments. She needs money for expenses.
neemsf2ffofm3s89lqzo,0,0,Jason is recovering from Lymphoma and since it is such an expensive operation he needs some financial support.The treatment lasts 21 days for the next 3-4 months so any support would hep him out greatly.
5hw7db22hdyjx5thhrpb,0,0,Jason is in bad shape after surgery. His illness has the potential to severely impact his livelihood.
f397qo14nvg3xrogawzd,0,0,"Jennifer was diagnosed with a somewhat advanced stage of Lymphoma and will need a good deal of chemotherapy and possibly radiation.  This treatment and recovery will cause her to incur a lot of expenses, and her friend is trying to help her pay for some of those."
uxg7mulybwudtj0aaj8t,0,0,"Jason has recently been diagnosed with stage 2 lymphoma and recently had a thyroid surgery as well. He will need monetary support during his treatments, and I would like to donate my entire $50 should I win the drawing."
dlv0drws7gu6f6n81epa,0,0,"He is recovering from Lymphoma. Honestly didn't read much more than that. I don't really believe in donating to a direct person that way. I prefer to donate to a cause a a whole. So Didn't need to read his story I knew that I thought the donation was mostly a waste, heard plenty a sob story in my life don't need to read another."
