ppt,donation,cond_sex,cond_metaphor,rt_consent,rt_check1,rt_check2,rt_instructions,rt_trial,rt_description,rt_pastdonations,rt_sympathy,rt_urgent,rt_self_cancer,rt_ff_cancer,rt_demographic,rt_age,rt_purpose,rt_feedback,rt_debrief,total_time,check1,check2,description,past_donations,urgent,sympathy,self_cancer,ff_cancer,gender,education,socioeconomic,english,age,purpose,feedback
0fcrvywbd2bo0sc3nmgg,25,male,battle,25320,3022,4990,26584,35198,21614,6007,6942,6637,3509,4061,13607,5054,22431,1847,33434,220591,1,2,He is sick and needs treatment. ,10,4,4,N,Y,F,B,75-100k,Y,55,Donation by empathy,
0flx0cmrkzpdcw6quors,44,female,battle,20571,4527,7450,5294,9402,30162,3296,6036,18507,13291,4900,10709,23384,34918,19693,18128,232861,0,1,"Then, with the new understanding of the situation, Jon thought for a few ... and he went back down to the car to explain the situation to his frightened sister.",5,5,5,N,N,M,M,25-50k,Y,30,Reading a passage and responding to questions,good
0hqq1omlnxyhl4xltyro,45,female,literal,24833,2653,4037,44120,72553,174120,9840,4039,3872,4503,3828,7619,3675,5509,1658,28418,395746,1,2,"Jennifer's situation is a very unfortunate one that she could have never foreseen or prevented. She is in dire need of assistance financial and emotionally. Hopefully, she will pull through this unfortunate event in her life and pay it forward. ",0,6,6,N,Y,M,HS,25-50k,Y,35,,
0jd4mmuhkbgwl4p78dv7,40,female,battle,65197,5573,2713,4550,8349,102509,3914,4525,5939,5204,12002,7745,4448,2845,7423,19111,264281,2,1,god,2,5,6,N,N,M,B,75-100k,Y,30,good,good
0mcg7376xnk3y1aag7o4,45,male,literal,20544,2864,4214,36872,56910,63950,6582,2975,4662,3917,2381,9981,5597,28575,1399,26850,280412,1,2,I would say he is in a very real fight for his life. He has 3 to 4 months of chemotherapy to do after he just had a surgery to remove the cancer. ,3,5,6,N,Y,M,A,50-75k,Y,43,I would guess you were looking for people's opinions on helping other people.,
0mdfkhp039u1ya27mvu9,30,female,journey,17367,3513,7071,36405,66706,95366,18628,8790,4911,8627,4536,17515,4919,56420,42987,20951,415080,1,2,"Jennifer is struggling with lymphomia, but she is a strong person. She is currently having chemotherapy, which sapped her energy. But now her energy is returning and she is feeling upbeat. She is determined to beat this disease!",1,4,5,N,Y,F,B,25-50k,Y,35,I think you were testing empathy and sympathy regarding other people. You may also have been testing willingness to give to charity.,"I have 2 family members who have leukemia, so I'm sympathetic to anyone with a blood cancer."
0mupevdhzk5fs012o34q,4,female,literal,22964,1479,2106,14242,37735,37282,6817,3247,8098,3005,4036,10534,5243,2864,3616,8883,172713,1,2,she had thyroid surgery and was then diagnosed with lymphoma.  she has a lot of expensive treatments and could use the money.,1,5,5,N,Y,F,M,100-150k,Y,52,,
0my60drm8ju1mw1c6aza,20,male,literal,12111,3289,6246,31219,84959,41000,7871,3583,4924,3917,5557,16375,5463,28968,2483,8656,270075,1,2,His situation his critical and needs donation.,2,4,4,N,N,F,B,25-50k,Y,33,,
0n872o09xjbmphrtv46y,45,male,journey,17209,2111,3475,26888,38205,77838,6906,2733,3509,2777,2788,12573,3351,30679,5017,42544,279083,1,2,"He's young and going through a very tough battle with Lymphoma. He has expenses that aren't covered by insurance and needs financial help. His best friend has started a campaign, sort of like a Go Fund Me, to raise money to help Jason meet his current and future medical expenses. ",12,5,6,N,Y,F,A,50-75k,Y,68,How willing I am to believe and trust requests for donations to worthy causes?,
0o46yruf9eczsnnyy3yv,25,female,literal,10156,3476,3704,36684,44467,90641,4545,4300,113372,2642,6095,10943,3751,12661,11269,12410,371597,1,2,"Jennifer is undergoing treatment for Stage II Lymphoma. She has been feeling bad from the chemo, but is trying to maintain a good attitude and keeping her energy up. She will have many expenses from treatment and any donations would help.",5,5,6,N,Y,F,HS,10-25k,Y,39,How willing people are to donate to another person.,Thanks for letting me participate!
0ok6spscvqn00ymwcc0o,1,female,literal,723233,10597,2096,20066,24946,43352,3282,4201,3524,2248,4878,6879,4184,6793,1304,7704,869678,1,2,She is dying and feeding off people to help pay the dying friend. A typical story of someone who needs money.,1,3,3,N,N,M,B,100-150k,Y,25,donating,
0pbdgvqnba6vxsdwxbjc,25,male,battle,8667,2926,3612,27798,39141,63325,7230,2997,5726,2158,2629,11216,3493,11431,2166,31926,226660,1,2,Jason is in a battle against cancer. He is undergoing chemotherapy and all that goes with the treatment. He has a great friend who is running a crowdfunding campaign to help see Jason through this. ,20,4,5,N,N,F,P,100-150k,Y,64,Our sympathy levels.,
0peu7vatn3zywnczadkh,10,female,literal,26137,3297,3246,27996,36458,37259,7785,5264,7102,4222,4030,11989,5328,55551,4910,14906,256597,1,2,while undergoing thyroid treatment she was diagnosed with lymphoma. her friend thinks the world of her and wants to help her out.,3,4,4,N,Y,F,M,OO,Y,50,"empathy, charitibility, probability",no
0r2bv1vq8fqs1el73yfr,35,male,battle,48312,2268,3828,32372,121696,21941,27607,3545,4572,3148,4255,22013,4100,5049,6595,2074,314079,1,2,Jason has thyroid cancer and needs money,1,5,5,N,Y,M,B,75-100k,Y,42,I have no idea,"easy peasy, thanks!"
0rpy4reo6fhe632lofw1,10,male,journey,5103,2097,3056,14309,20213,124094,5518,2765,2741,1956,1877,7279,3029,1910,910,8806,205932,1,2,"Jason is a person that just recently got Stage 2 Lymphoma after a thyroid surgery, but he seems very positive and ready to take on the challenge that this disease presents him. His best friend says he has a heart of gold, so he started a fundraiser campaign to help pay for treatment and related costs.",1,2,4,N,N,NB,A,<10k,Y,28,,
0s0z5h6r279slc9m27xt,38,male,battle,9860,3349,12021,11552,34596,13149,6428,3452,7117,5115,3179,28287,8788,2447,1055,10784,163950,1,2,it is one of the trusted company,5,4,2,N,OO,F,B,<10k,Y,45,,
0sfcga7j753ycrecn3yb,15,male,literal,6882,1954,3142,24799,25174,22270,7103,4318,3591,3694,2286,9442,5254,30343,5222,5317,161872,1,2,Critical and Jason needs help,4,6,6,N,N,M,M,>150k,Y,37,How much one would sympathize with someone who needs help,"NA"
0sxmrromqh5ds2pl1p6s,10,male,literal,38074,2764,3744,37148,77421,88325,8414,9336,8065,17132,3385,21890,6119,24108,3263,6164,355550,1,2,He has cancer and has to undergo chemotherapy and possibly radiation too.  The chemo made him ill for a few days but he is determined to get through this and be healthy again.,2,5,6,N,Y,F,M,75-100k,Y,74,People's charitable inclinations.,
0uto7dn021st1puhwvov,35,male,battle,192544,3532,57,95800,11590,9615,8844,9592,53,4779,4119,28771,42509,6118,51,11129,429848,1,1,,15.473,5,5,N,N,F,M,75-100k,Y,40,,
0x2m49618nowxvejpysr,10,female,journey,21677,2860,5471,100027,107500,71216,8266,9124,7772,24522,2947,16611,3451,5110,5540,8294,401048,1,2,Jennifer is very sick and will not be able to work or pay bills. She will need all the help she can get.,4,5,5,N,Y,M,HS,25-50k,Y,36,,thank you
0xxsh04lah2hlsq64wkk,50,female,literal,7501,3426,5855,26592,35187,15188,7423,3053,5472,4040,3261,12695,3072,6432,4445,17533,161545,1,2,someone with cancer,2,5,5,N,Y,M,A,25-50k,Y,28,compassion,nope
0zxjzptznvykja29rrnx,0,female,battle,13786,3074,4470,24175,8767,38662,8350,3167,4158,3165,3387,8194,3859,4015,2861,6159,140628,1,2,Her condition is serious but I can't afford to donate to her.,0,4,5,N,N,F,HS,10-25k,Y,57,,
12wkyfqjyrhdagtqkc1k,0,male,literal,10738,7193,9525,39332,72241,148389,9494,5078,4990,7638,2854,11985,4478,3726,2694,16374,356945,1,2,"Jason has cancer and needs treatment, his friend started a crowd-sourcing campaign to raise money to help offset the cost of the ongoing treatment. I decided to not contribute to this since I don't care about other people I do not know but I know you do this to make yourself feel better.I would be happy to shoot you an text with the link to the site if you want it. ",0,5,0,N,Y,M,HS,25-50k,Y,58,,
14t5a8kjof831x4swggn,50,female,journey,27956,2744,6600,461345,85661,161319,7389,3940,7752,7348,2158,10231,4060,3081,2001,3290,797573,1,2,That Jennifer wa diagnoised with stage 2 Lymphoma II after a throid surgury and is now going through Chemo. Her treatment will be ongoing for 3-4 months.,3,5,6,N,N,F,B,25-50k,Y,29,not sre,
16jwflh168qdqs55rhnv,24,female,battle,20818,4547,4606,39447,69584,58394,8505,8258,7425,6562,4164,13607,10160,23031,3875,15139,298448,1,2,someone fighting a critical disease who is going to need all the help she can get.,1,5,6,N,Y,F,HS,25-50k,Y,62,how sympathetic people are,
16u7c859j2rlocsfb4mb,35,male,literal,23595,20191,17405,46826,37217,73923,7127,5163,8375,23229,5842,15618,13924,6453,11736,36990,354994,1,2,A situation are very danger money situation donate the $35.,1,5,5,N,N,M,B,<10k,Y,35,nice,good
185mw6k0xzrz46k2dbqq,36,female,literal,8855,7037,6706,13543,54419,7814,4590,2267,2675,3147,21585,12042,5846,2485,2157,4016,160895,1,2,its really amazing ,60,4,5,N,Y,F,B,10-25k,Y,55,,"
"
18a9b6hmls6hh5g72hcs,50,male,journey,34626,6023,6639,43054,43924,55145,7676,8232,6041,4167,9326,14111,19124,19115,5310,5711,288836,1,2,i think all the persons need to help Jason because we need to help the persons who are very sick,5,6,6,N,Y,M,B,50-75k,Y,41,it was about to know our inner feelings and thinkings ,
18jo0ym7lsb98tekcoeh,25,male,literal,7096,3920,3780,21551,37656,40530,3144,3907,4414,4253,2602,10382,3439,6478,1742,4640,159976,1,2,Jason is in life saving therapy and needs funding to cover medical bills as well as day to day expenses.,5,6,6,N,Y,M,B,75-100k,Y,50,,
1bo5cb0zvxh545q90y23,40,male,battle,12982,2516,3284,30702,46912,23659,8099,2969,3543,4352,2496,12484,4848,31837,8291,22664,222057,1,2,He is battling cancer and needs money to pay for his treatments.,2,6,6,N,Y,M,B,25-50k,Y,40,Whether the remote possibility of personal gain would affect someone's willingness to give to others,Thanks and stay safe!
1cudf1dsus72lws7oevj,40,female,literal,25754,3946,11884,474183,27012,21642,11302,4388,8954,5686,5193,12990,7552,2581,2573,13184,641654,1,2,it was amy on a friend,10,6,5,N,N,F,B,50-75k,Y,45,,
1cwqmxvgkumn7vrlys9a,5,female,battle,10802,1855,3163,29088,46206,63039,5967,2803,4763,3366,3625,7226,5641,46244,1827,25213,261252,1,2,Jennifer is fighting a battle for her life . She had a complicated surgery which led to her receiving a cancer diagnosis. She is currently going through Chemo and is going to need some finance help with all the medical things. ,5,6,5,N,Y,F,HS,75-100k,Y,45,I feel that it is a relation between how we see a situation and the amount of money one is willing to donate. ,
1dv2930mgb1j1ugghyv5,25,female,battle,4684,4967,4017,15087,9082,29433,14278,3232,5109,17231,17872,7905,7549,3618,1995,5358,152298,1,2,Battling leukemia and is looking for people to donate to her situation to help with medical bills ,3,6,5,N,N,F,M,25-50k,Y,34,,
1dxop3qtxgd60kxn1uah,40,female,battle,52686,2650,4159,26024,84272,157085,8985,3734,10884,4821,2895,16838,4321,58610,4422,29456,472038,1,2,"Jennifer has Lymphoma, a serious form of cancer. She's currently undergoing treatments to try and beat it but, these treatments are really tough. They make her feel terrible.  On top of all that, these treatments are really expensive and she will have to pay for a lot of it herself.",15,5,5,N,Y,M,M,>150k,Y,46,I think we were testing how we related to the story and if it translated to action. I am guessing there is another group that will have a different script to determine if it has a different effect.,no
1e3j7a3vkbuj5dyttfm8,34,female,journey,59188,3653,7482,33888,9372,47476,6506,4643,12142,6891,6620,11359,8362,6918,2782,5239,233337,2,2,making the distions with the requirements and i was choose in my way of seeing the summary,5,5,4,N,Y,F,B,<10k,Y,25,,
1e68jovjhmytzwenhw0z,0,female,journey,2248,2246,3138,16685,54605,22021,5578,2649,2734,2024,1638,6982,2336,1782,723,1725,129737,1,2,She has a late stage disease that will probably kill her if she doesn't get the medical support she needs.,2,4,3,N,N,M,B,100-150k,Y,29,,
1eje8u7xbxb7c0mktywl,30,male,battle,23086,1522,1767,21311,20273,94642,5203,2859,4826,3623,2265,11530,4387,18821,1828,23125,241556,1,2,"Jason had a thyroid problem that has now escalated to stage II lymphoma. His friend has started a campaign to raise money to help him pay for expenses related to his treatment. I am slightly concerned that his friend is using this as a way to make money off of Jason, but figure that he is probably telling the truth. ",52,4,4,N,Y,M,M,25-50k,Y,26,How generous people are in response to questions for money. ,
1ftzsv192qxk7qvdg735,20,female,journey,4067,990,727,27183,16302,8244,4753,1763,2972,1776,1522,9221,2895,1425,1257,10758,96132,1,2,She is a great person diagnosed with Lymphoma,0,4,3,N,N,M,B,50-75k,Y,30,,
1gwp53hm2hu7jo5vxpw5,30,male,literal,8114,1806,3213,21000,34256,95574,6553,5056,9413,3284,2462,10937,9392,68010,1854,4707,285867,1,2,"I would explain that Jason's friend unfortunately has lymphoma. While it isn't as bad as it could be, he still has stage 2 and it will be a tough road moving forward. Jason is helping his friend raise money for treatment as he has to go through rounds of chemeo and local radiation if deemed necessary. Jason's friend is beloved by many so this campaign will really help out. ",15.473,6,6,N,Y,M,B,100-150k,Y,32,To see how much we donate to a situation depending on how much empathy we feel towards the cause. personal situations will also be measured. Example: people who have been affected by cancer or people in their family that have been affected by cancer may choose to donate more than those who haven't been through that. ,
1j9nez5kv9ecphlkhe36,50,female,literal,11593,3565,5248,10604,14765,205356,6276,6029,75032,8469,5858,27658,7283,23529,6102,10523,429284,1,3,"""Friends"" In their original contracts for the first season, cast members were paid $22,500 per episode. As the show entered its second season, cast members received different salaries, varying from $20,000 up to $40,000 per episode",5,6,6,Y,Y,M,D,10-25k,Y,37.878,good,good
1k3qrwx73h48trk09s2j,10,male,literal,5844,2961,2497,8379,68135,14738,4207,54018,8339,5566,3003,19026,4615,4637,4579,15709,226540,1,2,jason diagnised with lymphoma,2,6,6,N,N,M,B,10-25k,Y,25,na,na
1kv6xdhg7aex9yf4fcv2,25,male,journey,3708,2888,2925,43772,85073,199642,17010,2200,4329,2594,2592,6422,3614,2243,1662,2038,383338,1,2,Jason had thyroid surgery and was diagnosed with stage 2 Lymphoma. He's undergoing chemo.,3,6,6,N,Y,M,A,25-50k,Y,41,,
1ln21lxhnmx8b426vj5m,20,female,journey,11973,2375,2978,21929,57154,57752,9023,4490,7218,2978,5223,18367,3225,27616,3876,4362,241053,1,2,that she recently had a thyroid surgery and now is battling lymphoma and her good friend is collecting donations to help pay for medical bills and such.  ,1,4,5,N,Y,M,A,OO,Y,24,to see if people would donate to somebody who is in need based on how they can relate to the situation.,n/a
1mv9lzxawztbrkeqhhag,25,female,journey,553919,2086,3947,29970,52063,64415,6108,6310,7097,3496,2742,11591,4723,3126,2035,12398,766410,1,2,A cancer patient who has undergone surgery is now going through further treatment. there are a lot of expenses incurred along the way. She is doing ok and hoping for the best.,12,3,6,N,Y,F,B,<10k,Y,38,,
1ndgjg6cn8y82n6avks3,47,male,battle,9561,3269,4103,34275,64510,110673,10405,6078,9996,5206,2870,9794,4443,5023,2201,18013,300771,1,2,He is battling stage 2 cancer. He had surgery and is currently undergoing chemo. His treatments are every 3 weeks. After his treatment he has a few days of nausea and weakness. He is incurring a lot of expenses and could use help covering the cost.,15,6,6,N,Y,F,B,>150k,Y,52,,
1rqzt5ffcj1xmb0k0rpu,45,male,journey,472915,5175,7968,12707,12154,27996,3732,2283,6575,2355,2049,11160,4963,5543,5663,29501,615154,1,2,nice,20,5,6,Y,Y,M,B,50-75k,Y,26,nice,nice
1vxxtx58n11bcocxaevc,25,male,journey,27880,2032,2338,33049,33533,20216,6848,5282,4354,7880,2325,10263,3147,2847,1065,33512,196984,1,2,"Jason is undergoing cancer treatments, and he needs help paying for his medical treatments. ",0,4,3,N,N,F,B,>150k,Y,22,,
1wbzwjktndv7hjd20qyy,35,female,literal,3419,1811,984,4808,6553,14528,2618,3699,8555,2678,2454,21106,27845,3996,4719,5664,116216,2,2,GOOD,2,4,4,Y,Y,M,B,25-50k,Y,40,,GOOD
1wvsjzd1md2ey0q3cho6,15,male,journey,46075,7499,5775,39628,49097,333654,12202,3861,13273,11196,4016,40988,6016,5958,2337,8624,590747,1,2,Jason was diagnosed the lymphoma he is counted his days. Jason best friend help pay for the money expenses to cure the diseases.,2,5,4,N,N,F,B,50-75k,Y,30,,
1xg5qrnvuaubnadtfafv,50,male,literal,7719,2007,2825,28969,32751,49514,4959,2093,2823,1890,2462,8814,2851,13507,3220,3883,170597,1,2,"Jason has a tough road ahead of him with many long and enduring treatments for his lymphoma. He's a fighter, so he's going to beat it, but he is going to suffer financially as well as a result. He would benefit from financial support to help him get through the treatment without worrying.",0,6,6,N,Y,M,D,75-100k,Y,28,To see how generous people of different ages are,Thank you!
1xuncqslxw2kuulbudqk,5,female,literal,30298,7110,6513,17181,25092,50358,12835,5921,8130,6151,7408,14825,7451,7259,6336,20890,237570,1,2,She is very struggle for money. can you please help her to survive,4,4,4,N,N,M,B,25-50k,Y,25,good,good
1ytud4vmw5jy90aoth1e,25,male,battle,8857,1484,4023,14774,14848,37656,4490,3600,2860,3823,2069,8587,2970,2340,1129,1948,115949,1,2,Jason has severe medical issues stemming from complications after a surgery. He needs additional funding for the treatment he requires so he has a chance of recovery.,3,5,4,N,N,M,B,75-100k,Y,25,,
1ywu00cmjdupp2g8mc6d,5,female,literal,1823,1632,2681,24953,19604,67372,4867,2647,2723,1940,4510,10006,2653,1795,1291,1297,152056,1,2,She has cancer and is undergoing chemo for it. Her friend is trying to raise money to help her out,3,3,5,N,N,M,B,50-75k,Y,37,,
21qw0nq0w568h8tpdr99,45,male,literal,19406,3399,4145,40585,117455,136832,12590,16321,16509,6726,3131,11179,3439,71994,2378,21397,487913,1,2,Jason was diagnosed with Stage II lymphoma and will need many treatments including chemotherapy which he started last week.  His friend has started a campaign to help raise funds to cover the cost of treatments and hospital bills so any donations are helpful.,4,6,6,N,Y,F,B,100-150k,Y,50,To see how people react to crowdfunding donations when they know they could either keep the money or donate the money.  And to see how charitable people may be.,
21reknfrjbuxlq24aoeu,30,female,battle,15250,16251,3179,84764,68877,124024,9641,7009,13502,5194,3265,16504,7903,19097,3818,34836,433470,1,2,She has stage 2 lymphoma and will need 3-4 months of chemotherapy.  Having to face economic uncertainty along with chemotherapy and possibly radiation if tough.  She has already had her first round of chemo and is regaining her strength.,14,5,6,N,Y,F,M,25-50k,Y,44,How people feel about charitable causes,
22sknk3xe8lc11o73hs9,50,female,battle,41603,9814,8290,17321,16424,70649,9776,3714,50413,8571,3746,16269,6367,32643,6979,8452,312271,1,2,his situation is not good he worry about that future as a friend i gave some advices,2,5,4,N,N,F,M,50-75k,Y,28,this is health related topic,it is nice
22u7efkj22ckqanj7kap,5,female,literal,7335,2322,2398,24165,59160,45071,4186,3160,3261,2676,2252,8751,2845,3016,997,3971,176460,1,2,"Jennifer's situation is pretty dire, and it seems that she does not have much time left. She will have to undergo several rounds of chemotherapy and will have mounting medical bills. She needs all the help she can get.",2,6,5,N,N,M,HS,25-50k,Y,31,,
23dfd2g4f0jsdw6tujfy,25,male,journey,12579,2107,4698,11437,13520,28586,6275,3387,2739,3264,3329,12392,4826,2250,2060,5003,119033,1,2,Jason has Lymphoma and is need of financial help. He seems like a great person who needs all the help he can get.,1,6,5,N,Y,F,B,<10k,Y,57,,
24dcctc8fh7a1xqtd6pf,35,female,battle,22674,2522,4683,67718,51430,130493,10277,4593,6332,4849,3354,15219,4683,3940,1595,5931,340951,1,2,"Hey this person could use some help, they have cancer.  You know how expensive it is to have cancer in America, even with insurance it is stupidly pricey.  ",0,4,5,N,Y,M,A,25-50k,Y,28,,
24jqzztsqtkne3vuy5hs,20,male,journey,19326,2263,3555,23886,30229,25344,5969,4766,5875,2165,2577,6857,1990,1997,1200,6560,144940,1,2,Jason is someone that has contracted leukemia. ,0,2,4,N,Y,M,B,50-75k,Y,32,,
26bpbyywh2zoo9hqd6jc,10,male,literal,14616,7183,5636,56072,80889,72584,12161,4415,6403,5291,6691,14165,4100,47437,2244,28486,368951,1,2,jason is  a real gold hearted guy and i think his situation is really complication as of now as he needs to figure it out about the money he is gonna need for the treatment  ,1,4,5,N,N,M,A,10-25k,Y,27,i think it was about  human emotions  testing in this kind of sitution ,
26v8ddbyueb2eukq6ajm,50,female,literal,14664,3808,1524,32590,77427,33691,9563,5238,10208,5326,8725,11853,7402,15644,1612,10463,250376,3,2,PLEASE DONATE AMOUNT TO CANCER PEOPLE WHEN THEY REALLY AFFECTED,10,6,5,Y,N,M,B,75-100k,Y,24,VERY USEFUL SURVEY,
2832p6a2ob0ml3tsk6nh,4,female,literal,8878,2809,3916,22739,45433,50328,6796,4049,2916,2405,8879,10785,3172,1730,1599,17628,194525,1,2,"Jennifer is going through treatment for lymphoma, and is progressing. Chemotherapy will be tough, so any bit of money that can be donated to her will help and support her.",5,3,5,N,N,M,B,25-50k,Y,35,,
29wxs76x1as00gowfdbr,25,male,journey,19867,2199,3326,30629,44244,53994,4988,3580,3432,2499,1881,9147,3276,1699,1259,3588,190111,1,2,I would say that there's a really emotionally strong man with lymphoma who needs help with his travel expenses for his chemotherapy. It would be a good thing to donate to this cause to help him out.,1,5,6,N,N,M,HS,<10k,Y,25,,
2asgk713feglvuu7w6x9,10,female,journey,43734,2291,2568,20782,33605,64465,7038,4160,3559,3522,3990,13114,3873,20563,7425,9227,244764,1,2,Jennifer has been diagnosed with lymphoma and faces a lifetime of medical treatments to battle the disease. She needs help with medical expenses and other general living expenses.,5,5,6,N,N,F,HS,25-50k,Y,34,How people feel about others given limited information.,"No, thank you."
2c762dyoxtuasevqdo5k,5,female,journey,27240,2865,4195,30231,62780,240375,8118,4690,5955,5135,3017,13624,6254,26165,2836,13015,457135,1,2,"   Jennifer has Lymphoma, also called lymphatic cancer, a life-threatening disease.  She has undergone a first round of chemotherapy, but since there is a threat that the cancer may spread, she will have to undergo more treatments, probably involving radiation as well.
Jennifer is strong, and trying to cope with the affects of her treatment.  Her best friend has opened a Crowdfunding account to request donations to help Jennifer afford her treatments.",2,6,4,N,Y,M,B,50-75k,Y,36,The effectiveness of a Crowdfunding message.,
2cqgyqf97fm00mzuarwz,5,male,literal,39215,3243,4400,45032,30927,13329,15823,7183,14582,3348,6323,26719,5746,4357,1829,5694,229365,1,2,heart breaking,2,5,4,N,N,M,M,75-100k,Y,27,,
2d90chkclgrhprgdhak2,40,female,literal,44541,5968,9614,39966,14485,15048,5699,3906,6641,8308,4188,28637,20644,3647,1969,13445,227289,1,2,it is good,5,3,4,N,N,F,B,50-75k,Y,31,,
2ds1l3tr2s8ru07j0ubx,10,female,literal,18217,2557,4466,14639,30587,20130,4700,4739,3748,4113,2360,8153,5505,17820,5013,6877,154128,1,2,Shes been dealing with serious medical bills and could use a hand,3,3,3,Y,Y,F,A,25-50k,Y,40,If people actually care and pay attention to go fund me,none
2fs2hegq9wf39u8mlt0o,50,female,battle,1450,2756,2580,20589,15603,15298,5532,2499,4088,2954,1441,10070,3397,1899,1078,1050,93221,1,2,Jennifer is battling with Lymphoma which is a cancer.,15.473,6,6,N,Y,M,HS,10-25k,Y,19,,
2gm5fged1tqcv1ahlfzk,0,female,journey,5897,3124,3591,24482,42786,30008,6532,3097,3360,2528,2751,9504,3146,2061,1129,4467,148884,1,2,"She has a lot of hard times ahead of her. But, she can make it through.",0,5,5,N,Y,M,B,25-50k,Y,41,,
2h246ouvwunqo9e9n53m,5,female,literal,19560,10108,58239,48013,47954,24048,8129,3447,5788,3819,2853,14242,3779,2062,1377,4473,258309,1,2,I think I would say Jennifer is a good person but now she is very sick.,2,4,4,N,Y,F,B,25-50k,Y,38,,
2hd1fll019n03d2navef,20,male,journey,16238,2818,5326,36863,74015,122972,6270,4278,8390,3437,2037,10726,4845,30911,3607,11678,344732,1,2,"Jason's situation is a dire one. I have had people in my family who have battled cancer and think that it's of the greatest importance to be there for those living with lymphoma. Jason's means of paying for treatment and related expenses is low, so he is in desperate need of help. ",2,6,6,N,Y,M,B,25-50k,Y,33,I think you were testing for how well people would sympathize with people afflicted with cancer. ,n/a
2jd73h8jj5gol2lbzd7u,0,male,journey,8965,2118,2649,15541,7863,13700,4110,1815,3360,2564,2185,6685,3197,1742,145,12794,89846,1,2,He needs help for medical expenses,2,4,4,N,Y,F,B,50-75k,Y,22,,
2k28dphhe6fperexqbyf,10,male,battle,3869,1558,1640,3822,40513,106616,6500,3342,2743,3111,1489,10842,3346,34133,1490,4368,229928,1,2,Jason is in a life battle with Lymphoma. After a complicated surgery he was diagnosed with stage 2 lymphoma and needs many treatments of chemotherapy and possibly local radiation to survive. These treatments are very expensive and he needs help covering the expenses. ,2,4,5,N,N,F,HS,<10k,Y,20,about Jason's conditions and how we feel about it and also about donating,
