ppt,donation,cond_sex,cond_metaphor,rt_consent,rt_check1,rt_check2,rt_instructions,rt_trial,rt_description,rt_pastdonations,rt_sympathy,rt_urgent,rt_self_cancer,rt_ff_cancer,rt_demographic,rt_age,rt_purpose,rt_feedback,rt_debrief,total_time,check1,check2,description,past_donations,urgent,sympathy,self_cancer,ff_cancer,gender,education,socioeconomic,english,age,purpose,feedback
0j7sd89q2za79djcr0c5,12,female,journey,20774,3482,2947,31093,34382,67296,5364,7154,7357,3553,3308,13732,3565,6065,60040,6842,277670,1,2,"Jennifer has lymphoma and is going through chemotherapy. I do not know what her insurance is like, 
or what it does and does not pay for.
(My wife is a cancer patient and has been gong through chemo for the last five years).",24,4,4,N,Y,M,B,25-50k,Y,55,not sure,"until the corona virus outbreak, my wife's chemo was in another state.
she had to travel once a month. the FDA has relaxed some of the regulations on clinical trials because of teh virus"
0jd4mmuhkbgwl4p78dv7,40,female,battle,65197,5573,2713,4550,8349,102509,3914,4525,5939,5204,12002,7745,4448,2845,7423,19111,264281,2,1,god,2,5,6,N,N,M,B,75-100k,Y,30,good,good
0k09enkjy7alpa3exdse,25,male,journey,6104,2553,4307,34346,49017,136078,8267,5601,10146,7444,2542,39964,5543,9212,2985,19595,344283,1,2,He has cancer but is on the road to beating it. He needs financial aid to help relieve his burden.,3,6,6,N,Y,F,B,10-25k,Y,56,,
0kb9vvtb2qpg1pothrdt,45,female,literal,25578,1830,2379,54396,38849,61070,5235,3329,5599,2199,3758,15475,3504,48676,2604,34830,310307,1,2,"Jennifer has cancer, but forsees having financial problems in the future as she undergoes treatment. Her friend is raising money to help contribute to the costs of her cancer treatment.",8,4,5,N,Y,F,HS,<10k,Y,19,"How much money people are willing to contribute (even if that means a financial loss for them) to somebody with cancer, depending on the person's characteristics and experiences. ",
0l0pr7068xogfd5u8xva,45,male,literal,9300,1334,1973,12870,18877,55747,3937,2542,3969,2182,1779,5635,3248,16374,1167,13292,154700,1,2,Jason's been undergoing leukemia treatment.  He's still quite young and should recover with sufficient care.,24,5,6,N,Y,F,B,50-75k,Y,43,You want to know how much we would donate if we were really sympathetic.,
0l5nmsn5klvp8cl2zoqv,0,female,literal,11862,1647,3795,22857,47936,44765,151840,2381,3680,2286,2102,7182,4173,6756,1372,8804,325120,1,2,Jennifer is recovering from lymphoma. She had thyroid surgery and will become chemotherapy soon.,2,4,5,Y,Y,F,M,50-75k,Y,42,,
0lc8vu1csec1mz57whvx,42,female,battle,5774,2613,2102,6000,9587,6335,5086,4859,5620,3327,2110,10897,7383,4465,4953,4678,86551,1,1,no,12,5,5,Y,Y,M,M,50-75k,Y,29,no,no
0mcg7376xnk3y1aag7o4,45,male,literal,20544,2864,4214,36872,56910,63950,6582,2975,4662,3917,2381,9981,5597,28575,1399,26850,280412,1,2,I would say he is in a very real fight for his life. He has 3 to 4 months of chemotherapy to do after he just had a surgery to remove the cancer. ,3,5,6,N,Y,M,A,50-75k,Y,43,I would guess you were looking for people's opinions on helping other people.,
0mdfkhp039u1ya27mvu9,30,female,journey,17367,3513,7071,36405,66706,95366,18628,8790,4911,8627,4536,17515,4919,56420,42987,20951,415080,1,2,"Jennifer is struggling with lymphomia, but she is a strong person. She is currently having chemotherapy, which sapped her energy. But now her energy is returning and she is feeling upbeat. She is determined to beat this disease!",1,4,5,N,Y,F,B,25-50k,Y,35,I think you were testing empathy and sympathy regarding other people. You may also have been testing willingness to give to charity.,"I have 2 family members who have leukemia, so I'm sympathetic to anyone with a blood cancer."
0mupevdhzk5fs012o34q,4,female,literal,22964,1479,2106,14242,37735,37282,6817,3247,8098,3005,4036,10534,5243,2864,3616,8883,172713,1,2,she had thyroid surgery and was then diagnosed with lymphoma.  she has a lot of expensive treatments and could use the money.,1,5,5,N,Y,F,M,100-150k,Y,52,,
0my60drm8ju1mw1c6aza,20,male,literal,12111,3289,6246,31219,84959,41000,7871,3583,4924,3917,5557,16375,5463,28968,2483,8656,270075,1,2,His situation his critical and needs donation.,2,4,4,N,N,F,B,25-50k,Y,33,,
0n872o09xjbmphrtv46y,45,male,journey,17209,2111,3475,26888,38205,77838,6906,2733,3509,2777,2788,12573,3351,30679,5017,42544,279083,1,2,"He's young and going through a very tough battle with Lymphoma. He has expenses that aren't covered by insurance and needs financial help. His best friend has started a campaign, sort of like a Go Fund Me, to raise money to help Jason meet his current and future medical expenses. ",12,5,6,N,Y,F,A,50-75k,Y,68,How willing I am to believe and trust requests for donations to worthy causes?,
0ndrux9h2xqetd4n7pex,28,female,battle,9788,3413,3414,4048,5766,8622,3887,3302,4766,3158,2431,21955,6238,3127,1039,7772,94725,1,1,Nice good,33.13,5,4,N,OO,M,B,10-25k,Y,33,,
0nhpdz0n3rlh36n40hf0,20,male,battle,4719,1934,3522,25032,21426,41400,6984,3374,3694,1829,1869,6015,2687,1895,1269,12529,140633,1,2,Jason is in the process of undergoing chemotherapy treatment and needs any help he can get to help pay for his overwhelming medical costs.,3,6,5,N,N,M,HS,25-50k,Y,27,,
0nkmxzj2hg2vhlj38q2x,5,female,journey,21232,2114,5396,45745,67293,71802,6780,4761,5837,2301,2957,24843,3688,39823,2627,40135,347602,1,2,"Jennifer has been diagnosed with stage II cancer. Although she's gotten a little of her energy back from treatment, she still has to go through much more to battle it.",3,2,4,N,N,M,HS,10-25k,Y,19,Correlation between donation amount and sympathy.,
0o46yruf9eczsnnyy3yv,25,female,literal,10156,3476,3704,36684,44467,90641,4545,4300,113372,2642,6095,10943,3751,12661,11269,12410,371597,1,2,"Jennifer is undergoing treatment for Stage II Lymphoma. She has been feeling bad from the chemo, but is trying to maintain a good attitude and keeping her energy up. She will have many expenses from treatment and any donations would help.",5,5,6,N,Y,F,HS,10-25k,Y,39,How willing people are to donate to another person.,Thanks for letting me participate!
0o5jze3026gyvb40ozb2,10,female,literal,42007,2450,3592,34508,46621,36670,6870,5315,10247,7874,3178,9411,3836,14596,1957,13563,243197,1,2,Jennifer has stage two lymphoma.  She needs to undergo 21 days of treatment.,6,3,3,N,N,F,A,50-75k,Y,58,compassion toward strangers,
0ok6spscvqn00ymwcc0o,1,female,literal,723233,10597,2096,20066,24946,43352,3282,4201,3524,2248,4878,6879,4184,6793,1304,7704,869678,1,2,She is dying and feeding off people to help pay the dying friend. A typical story of someone who needs money.,1,3,3,N,N,M,B,100-150k,Y,25,donating,
0pbdgvqnba6vxsdwxbjc,25,male,battle,8667,2926,3612,27798,39141,63325,7230,2997,5726,2158,2629,11216,3493,11431,2166,31926,226660,1,2,Jason is in a battle against cancer. He is undergoing chemotherapy and all that goes with the treatment. He has a great friend who is running a crowdfunding campaign to help see Jason through this. ,20,4,5,N,N,F,P,100-150k,Y,64,Our sympathy levels.,
0peu7vatn3zywnczadkh,10,female,literal,26137,3297,3246,27996,36458,37259,7785,5264,7102,4222,4030,11989,5328,55551,4910,14906,256597,1,2,while undergoing thyroid treatment she was diagnosed with lymphoma. her friend thinks the world of her and wants to help her out.,3,4,4,N,Y,F,M,OO,Y,50,"empathy, charitibility, probability",no
0pl4uy8m83xvquqj3vyp,0,female,literal,2054,1034,863,4575,17749,47166,4686,1790,2166,2214,2038,6139,4277,1872,1078,2668,102484,1,2,Jennifer was diagnosed with stage 2 lymphoma. She started undergoing chemotherapy and will receive treatments every 21 days for the next 3-4 months.,1,6,6,N,N,M,B,10-25k,Y,27,,
0qfzvzrzryl40u8g67rz,5,female,literal,22824,3014,4445,71151,56701,43956,15384,4852,6765,4300,5035,24969,6331,45631,9358,24540,349700,1,2,Jennifer has lymphoma which is a deadly disease. She needs help to get money to pay for treatments.,0,4,4,N,Y,M,HS,10-25k,Y,71,My best guess is that you are testing how different types of people feel about helping others in need.,No.
0qtxrfmmj5yy8qybfglj,30,female,journey,30621,2953,4156,41051,46032,117182,9505,11361,4533,6245,4074,11807,3813,31678,2527,13377,342315,1,2,"After having thyroid surgery, Jennifer found out she has Lymphoma. She's going to need chemo and possibly radiation for the foreseeable future. The fundraising is to help her cover expenses in anticipation of the upcoming treatments for her cancer. ",5,5,6,N,Y,F,B,50-75k,Y,44,"No clue, perhaps empathy or willingness to donate to cancer patients vs ?",
0r2bv1vq8fqs1el73yfr,35,male,battle,48312,2268,3828,32372,121696,21941,27607,3545,4572,3148,4255,22013,4100,5049,6595,2074,314079,1,2,Jason has thyroid cancer and needs money,1,5,5,N,Y,M,B,75-100k,Y,42,I have no idea,"easy peasy, thanks!"
0rpy4reo6fhe632lofw1,10,male,journey,5103,2097,3056,14309,20213,124094,5518,2765,2741,1956,1877,7279,3029,1910,910,8806,205932,1,2,"Jason is a person that just recently got Stage 2 Lymphoma after a thyroid surgery, but he seems very positive and ready to take on the challenge that this disease presents him. His best friend says he has a heart of gold, so he started a fundraiser campaign to help pay for treatment and related costs.",1,2,4,N,N,NB,A,<10k,Y,28,,
0rtvk0pndgn7enth3m9o,35,female,literal,5623,2878,4252,60575,63412,87902,11250,8239,5625,4639,3754,10638,3281,66076,46088,159116,544638,1,2,"The signs are looking up, she's not necessarily out of the woods yet but its looking promising. From what I read, she is resilient and dedicated in giving it her all, I think donating would ensure her safety at least within my/our control.",2,3,4,N,N,M,B,50-75k,Y,23,Selfishness and whether someone would be more willing to donate a fixed amount or be entered to win an amount with the odds against them.,"If my theory is correct, don't emphasize the control variable so much. It was a dead giveaway."
0s0z5h6r279slc9m27xt,38,male,battle,9860,3349,12021,11552,34596,13149,6428,3452,7117,5115,3179,28287,8788,2447,1055,10784,163950,1,2,it is one of the trusted company,5,4,2,N,OO,F,B,<10k,Y,45,,
0sfcga7j753ycrecn3yb,15,male,literal,6882,1954,3142,24799,25174,22270,7103,4318,3591,3694,2286,9442,5254,30343,5222,5317,161872,1,2,Critical and Jason needs help,4,6,6,N,N,M,M,>150k,Y,37,How much one would sympathize with someone who needs help,"NA"
0sxmrromqh5ds2pl1p6s,10,male,literal,38074,2764,3744,37148,77421,88325,8414,9336,8065,17132,3385,21890,6119,24108,3263,6164,355550,1,2,He has cancer and has to undergo chemotherapy and possibly radiation too.  The chemo made him ill for a few days but he is determined to get through this and be healthy again.,2,5,6,N,Y,F,M,75-100k,Y,74,People's charitable inclinations.,
0u176rax43jy1zg1lnlv,45,male,journey,47477,3577,3983,39775,73424,60510,9967,4095,8198,4294,3566,15163,6334,27046,5743,38905,352592,1,2,Jason is a young man who had thyroid surgery and now has Lymphoma.  He needs chemotherapy and radiation and has a long road ahead to recovery. ,3,5,6,N,Y,F,A,10-25k,Y,53,To see how sympathetic people are to a situation like Jason's.  ,None
0uto7dn021st1puhwvov,35,male,battle,192544,3532,57,95800,11590,9615,8844,9592,53,4779,4119,28771,42509,6118,51,11129,429848,1,1,,33.13,5,5,N,N,F,M,75-100k,Y,40,,
0v4qqafddlvpstryh3tu,44,male,journey,25454,7989,3596,11488,117276,132797,10061,7894,8580,8221,10183,14116,7207,82082,10411,33038,492587,1,2,Jason is someone I'm willing to help he's a friend who would have done the same for me if I were in the same situation as his so I'm really willing to do anything to bring him back to his normal state,5,5,6,N,N,F,HS,25-50k,Y,37,this is to test me on how I cared so much about my friend and how far I'm willing to go to bring him back to his normal life,N/A
0x2m49618nowxvejpysr,10,female,journey,21677,2860,5471,100027,107500,71216,8266,9124,7772,24522,2947,16611,3451,5110,5540,8294,401048,1,2,Jennifer is very sick and will not be able to work or pay bills. She will need all the help she can get.,4,5,5,N,Y,M,HS,25-50k,Y,36,,thank you
0x3au7e94br38ge31z2d,1,female,battle,9851,2840,2830,29015,30117,35278,4487,4110,18150,2845,1813,13090,4613,2726,1438,20460,184262,1,2,"She has lymphoma. She needs chemo and radiation, and is having a tough time. Her best friend is trying to raise money to help her with the costs associated. ",60,5,5,N,Y,F,M,<10k,Y,39,,
0xxsh04lah2hlsq64wkk,50,female,literal,7501,3426,5855,26592,35187,15188,7423,3053,5472,4040,3261,12695,3072,6432,4445,17533,161545,1,2,someone with cancer,2,5,5,N,Y,M,A,25-50k,Y,28,compassion,nope
0yv44lu0cr5u7nuq6uen,41,female,journey,26289,14988,9456,84311,38242,116415,13223,34160,19690,6542,10696,19085,7964,9106,7241,9783,427975,3,2,she was a very poor bt she is very strong and piller of family,33.13,5,6,N,N,M,M,10-25k,Y,34,,
0zodkpenr74z3uwlt67y,50,male,literal,13318,3783,4772,38745,63215,48683,8720,3895,7797,3048,3727,23876,3675,43152,3248,48652,322803,1,2,He is really sick with Stage 2 lymphoma and needs our help. He will have to go multiple chemo and radiation treatments too. ,6,5,5,N,Y,F,HS,10-25k,Y,19,"generosity of human beings if they are willing to lose the benefit of receiving some money for themselves, and just give it all to the person who needs it most.",no
0zxjzptznvykja29rrnx,0,female,battle,13786,3074,4470,24175,8767,38662,8350,3167,4158,3165,3387,8194,3859,4015,2861,6159,140628,1,2,Her condition is serious but I can't afford to donate to her.,0,4,5,N,N,F,HS,10-25k,Y,57,,
12wkyfqjyrhdagtqkc1k,0,male,literal,10738,7193,9525,39332,72241,148389,9494,5078,4990,7638,2854,11985,4478,3726,2694,16374,356945,1,2,"Jason has cancer and needs treatment, his friend started a crowd-sourcing campaign to raise money to help offset the cost of the ongoing treatment. I decided to not contribute to this since I don't care about other people I do not know but I know you do this to make yourself feel better.I would be happy to shoot you an text with the link to the site if you want it. ",0,5,0,N,Y,M,HS,25-50k,Y,58,,
13qsrnovw979b0as74l0,30,female,literal,10523,5477,4851,52023,59682,101199,11433,5055,11890,5417,41826,29606,10497,5896,4093,6138,365911,1,2,"Jennifer's situation is bad. As a friend, It was a hard situation.",2,6,5,N,N,F,B,<10k,Y,29,,
14qd9f9qhmb4j6pdcb0p,3,male,literal,5146,2408,3630,11998,33096,34778,9902,5512,4002,4616,3412,10300,4056,5414,1624,2162,142628,1,2,Jason has stage ii lymphoma. His friend is raising money to help Jason pay for day-to-day expenses.,3,1,4,N,Y,M,B,OO,Y,51,,
14t5a8kjof831x4swggn,50,female,journey,27956,2744,6600,461345,85661,161319,7389,3940,7752,7348,2158,10231,4060,3081,2001,3290,797573,1,2,That Jennifer wa diagnoised with stage 2 Lymphoma II after a throid surgury and is now going through Chemo. Her treatment will be ongoing for 3-4 months.,3,5,6,N,N,F,B,25-50k,Y,29,not sre,
15abrnakj2htqa3qcfu7,35,female,battle,3483,15857,1559,17070,63492,146084,7991,2934,48366,3856,2375,16249,3053,29027,1483,15774,379136,1,2,"Jennifer was diagnosed with a stage 2 lymphatic cancer and has to undergo chemotherapy for the next 3-4 months. As cancer treatment is very expensive, her friend organized a crowdfund for her treatment. ",3,6,6,N,N,F,M,25-50k,N,31,,
165hlrnwg8zjg0kkd326,30,female,literal,40521,4639,27366,27195,93263,142749,12147,10330,11195,8900,4219,85215,12930,40128,4381,38366,564432,1,2,Jennifer need to take thyroid surgery. so we need do donate some amount to her.,0,5,3,N,N,F,B,10-25k,Y,47,It is very useful for helping others.,
16afhndy3hecvg79unfm,5,male,literal,14934,2338,3342,38001,37241,54669,6488,2756,5357,2604,3729,7626,3300,2361,1522,28990,215683,1,2,Jason had thyroid surgery and is now battling lymphoma.  He has to have chemo every 21 days and there will be a long road ahead to recovery.,5,4,5,N,Y,M,M,>150k,Y,54,,
16jwflh168qdqs55rhnv,24,female,battle,20818,4547,4606,39447,69584,58394,8505,8258,7425,6562,4164,13607,10160,23031,3875,15139,298448,1,2,someone fighting a critical disease who is going to need all the help she can get.,1,5,6,N,Y,F,HS,25-50k,Y,62,how sympathetic people are,
16u7c859j2rlocsfb4mb,35,male,literal,23595,20191,17405,46826,37217,73923,7127,5163,8375,23229,5842,15618,13924,6453,11736,36990,354994,1,2,A situation are very danger money situation donate the $35.,1,5,5,N,N,M,B,<10k,Y,35,nice,good
17t9bvzac7hqr1gg7kr4,40,female,literal,13305,3276,4105,37239,33481,31730,4911,3978,4449,2822,2730,14488,4156,10873,4004,10700,186629,1,2,Jennifer has stage two lymphoma after being in the hospital for another treatment. She will face some very difficult treatment now.,4,5,5,N,Y,M,B,25-50k,Y,40,Selfishness,
17vw94j2u6ww4ah005dx,50,female,battle,6164,1530,3167,27727,34798,29814,6415,2388,4229,4270,3371,11473,6876,10983,2191,7638,163487,1,2,Her situation is very difficult and sad. Most people would feel sorry for her condition and donate.,0,6,6,N,Y,M,B,<10k,Y,22,Sympathy,
185mw6k0xzrz46k2dbqq,36,female,literal,8855,7037,6706,13543,54419,7814,4590,2267,2675,3147,21585,12042,5846,2485,2157,4016,160895,1,2,its really amazing ,60,4,5,N,Y,F,B,10-25k,Y,55,,"
"
